y,x,Linie,Km,Name,BPS,BPS-Name,Oben,Unten,B-Jahr,Typ,Bauart,Bem Bauart,Nutzung,Bem Nutzung,Zus Nutz,Breite,Lange (m),Diff H=,Steigung,Handlauf,Bem Handlauf,Oberflache,Bem Oberflache,Bemerkungen,Eigentum,Bem Eigentum,Besonderheiten,Perron,Status,FID,geopos
537206.011,152287.119,150,0.713,Escalier,LSBI,Lausanne (bif),Route,voie CFF,1962,Treppe,Beton,,Fussgaenger,,keine,1.0,21.0,11.1,52%,beidseitig,Parciel par endroit,,,,SBB,,,,Bestehend,167648091,"46.5189299716, 6.6203427013"
536340.764,153018.685,175,1.875,Escalier,LSSB,Lausanne-Sebeillon,Poste d'enclenchement,Place,,Treppe,Beton,,Fussgaenger,,keine,1.22,3.19,0.0,,beidseitig,,Beton-Belag,,,SBB,,,,Bestehend,35070392,"46.5254285881, 6.60896710379"
536320.739,153030.844,175,1.901,Escalier,LSSB,Lausanne-Sebeillon,Poste d'enclenchement,Place,,Treppe,Beton,,Fussgaenger,,keine,1.22,3.15,0.0,,beidseitig,,Beton-Belag,,,SBB,,,,Bestehend,35175564,"46.5255360507, 6.60870445735"
530091.307,152841.607,171,10.972,Service,LT,Lausanne-Triage,Voie,P.S.V,,Treppe,Beton,,Fussgaenger,,keine,1.49,5.01,0.0,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,35082102,"46.5232110049, 6.52755153494"
624202.598,257785.993,500,17.031,,LSN,Lausen,Hausperron,dito,2008,Treppe,Beton,,Fussgaenger,,keine,2.25,1.0,0.0,,einseitig,#BZU,Beton-Belag,,,SBB,,,1,Bestehend,35262853,"47.4704034654, 7.7596583425"
547409.502,212076.816,224,37.066,,LOC,Le Locle,Chemin,Chemin,,Treppe,Andere,Pierres nat.,Fussgaenger,,keine,3.01,3.95,0.0,,einseitig,#BZU,Naturstein-Pflaesterung,,,SBB,,,1,Bestehend,35147212,"47.0576201767, 6.7464133327"
545843.703,211234.186,224,38.872,,COL,Le Locle-Col-des-Roches,BV,Place,,Treppe,Andere,Pierre naturelle,Fussgaenger,,keine,3.0,1.2,0.0,,kein,,Andere,Pierre naturelle,,SBB,,,,Bestehend,35028933,"47.0499146689, 6.72590572262"
545854.67,211241.667,224,38.859,,COL,Le Locle-Col-des-Roches,BV,Place,,Treppe,Andere,Pierre naturelle,Fussgaenger,,keine,2.67,2.11,0.0,,kein,,Andere,Pierre naturelle,,SBB,,,,Bestehend,35028920,"47.0499828556, 6.72604915016"
594549.066,225373.583,410,87.99,Treppe,LEN,Lengnau,Perron,PU,1954,Treppe,Beton,,Fussgaenger,,,2.0,7.3,0.0,,beidseitig,#BZU,Andere,,,SBB,,,2/3,Bestehend,35264255,"47.1792937705, 7.36671907372"
558904.959,203943.421,223,3.161,Service,DEU,Les Deurres,Quai 1,Route,,Treppe,Beton,,,,keine,0.7,1.51,0.0,,kein,,Beton-Belag,,,SBB,,,,Bestehend,35183814,"46.9852760138, 6.89845462979"
558504.243,203763.791,223,3.605,Service,DEU,Les Deurres,Voie,Route,,Treppe,Beton,,,,keine,1.16,6.48,0.0,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,35154913,"46.9836352617, 6.89320400413"
555463.647,207269.434,224,16.879,,GEC,Les Geneveys-sur-Coffrane,Talus,Route,,Treppe,Holz,,Fussgaenger,,keine,0.58,3.44,0.0,,kein,#BZU,Andere,Bois,,SBB,,,,Bestehend,35081525,"47.0149703894, 6.85289445702"
555496.423,207309.068,224,16.925,RAMPE,GEC,Les Geneveys-sur-Coffrane,quai 1,quai1,2015,Rampe,Beton,,Fussgaenger,,keine,5.71,4.47,0.26,6%,kein,,Bituminoeses Mischgut,,,SBB,,,1,Bestehend,169297550,"47.0153290951, 6.8533216097"
610837.568,212537.91,450,86.543,Treppe,LYS,Lyssach,Perron,Parkplatz,,Treppe,Beton,,Fussgaenger,,keine,0.6,12.0,0.2,,kein,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35181117,"47.0637742431, 7.58129408132"
659608.697,251611.758,650,26.483,Ext.,MAEG,Magenwil,Gleis,Fluchtweg,,Treppe,Stahl,,Fussgaenger,,keine,1.0,4.1,1.13,,einseitig,,Andere,Gitterrost,,SBB,,,,Bestehend,35214275,"47.4126210094, 8.2284552182"
758934.839,207995.064,900,7.731,PU Maienfeld Sud,MF,Maienfeld,Perron 2,PU,1993,Rampe,Beton,,Fussgaenger,,keine,2.5,34.8,4.0,12,einseitig,#BZU,Bituminoeses Mischgut,,,SBB,,,2,Bestehend,35078472,"47.0039601956, 9.528724784"
587691.637,231985.02,226,61.8,Bat.,MB,Malleray-Bevilard,HM,,,Treppe,Andere,Granit,,,keine,0.9,1.4,0.0,,kein,,Naturstein-Pflaesterung,,,SBB,,,,Bestehend,35172301,"47.238668451, 7.27607278664"
536139.082,153015.374,150,2.035,Escalier,MEY,Malley (B),Voie,Chemin de Martinet,2012,Treppe,Stahl,,Fussgaenger,,keine,2.04,2.57,2.28,88%,beidseitig,,Andere,Acier,,SBB,,,,Bestehend,142641763,"46.5253795547, 6.60633923016"
710885.205,278112.316,822,39.867,T3 Perron,MAM,Mammern,Perron,Bahnhofplatz,2015,Perrontreppe,Beton,,Fussgaenger,,keine,4.36,0.38,0.24,,beidseitig,,Beton-Belag,,,SBB,,,1,Bestehend,166773292,"47.6442816257, 8.91436331665"
719114.153,87934.891,600,191.047,,MAR,Maroggia-Melano,Strada,Sottopasso FFS,,Treppe,Andere,Granito,Fussgaenger,,keine,5.7,1.0,0.0,,kein,#BZU,Naturstein-Pflaesterung,,,SBB,,,,Bestehend,35137102,"45.93251766, 8.97431489187"
691489.102,276339.421,762,45.985,T2 Per.2 West,MTL,Marthalen,Perron,PU,2013,Perrontreppe,Beton,,Fussgaenger,,keine,2.6,9.83,4.74,30/17,beidseitig,,Naturstein-Pflaesterung,,,SBB,,,2,Bestehend,156953709,"47.6313331564, 8.65590555762"
691508.269,276342.159,762,45.983,R1 Per.1 Ost,MTL,Marthalen,Perron,PU,2013,Perronrampe,Beton,,Fussgaenger,,keine,2.5,54.7,4.75,9,beidseitig,,Beton-Belag,,,SBB,,,1,Bestehend,156954059,"47.631355103, 8.65616110337"
691522.325,276185.38,762,45.827,T6 Per.1,MTL,Marthalen,Perron,Weg,2013,Treppe,Beton,,Andere,dienstlich,keine,1.0,1.36,0.75,42/19,kein,,Beton-Belag,,,SBB,,,1,Bestehend,156953710,"47.6299433253, 8.65631572124"
573863.862,182041.219,250,60.382,Acces,MTR,Matran,BV,Place,,Treppe,Andere,Pierre naturel,Fussgaenger,,keine,2.7,1.2,0.38,31,kein,#BZU,Naturstein-Pflaesterung,,,SBB,,,,Bestehend,35030988,"46.7890218421, 7.09634049349"
691099.503,236197.23,730,19.313,T3 Perron 2/3,ML,Meilen,Perron,PU,1986,Treppe,Beton,,Fussgaenger,,keine,2.5,10.8,3.8,,beidseitig,#BZU,Beton-Belag,,,SBB,,,2/3,Bestehend,35255645,"47.2703904371, 8.64252854716"
693798.733,268969.112,762,35.06,T3 Per. 2,HGT,Henggart,Perron,PU,2002,Treppe,Beton,,Fussgaenger,,,2.5,4.75,2.9,30/16,beidseitig,#BZU,Beton-Belag,,,SBB,,,2,Bestehend,35254354,"47.5647298179, 8.68507291143"
619872.532,226402.33,418,66.696,Treppe,HB,Herzogenbuchsee,Perron,PU Herzogenbuchsee,1979,Treppe,Beton,,Fussgaenger,,,2.25,8.35,0.0,,beidseitig,#BZU,Andere,,,SBB,,,2/3,Bestehend,35223606,"47.188273441, 7.70083563532"
694576.829,266834.956,762,32.702,Geb.,HET,Hettlingen,AG,,,Treppe,Beton,,Fussgaenger,,keine,0.94,0.59,0.0,,Unbekannt,#BZU,Unbekannt,,,SBB,,,,Bestehend,35036991,"47.5454266661, 8.69495686715"
608137.405,210964.073,450,89.699,Rampe,HBK,Hindelbank,Strasse,PU,1997,Rampe,Beton,,Fussgaenger,,,2.2,12.67,0.0,,,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35243413,"47.0496560015, 7.54572179069"
705870.771,239885.488,753,22.377,T2.1 TK,HI,Hinwil,Gebaude,Platz,2010,Treppe,Beton,,Andere,Dienstlich,keine,1.2,1.0,0.95,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,60488882,"47.3013554544, 8.83856532235"
665196.589,224092.387,651,12.887,,HOSA,Hochdorf Schonau,Perron,Platz,2007,Treppe,Beton,,Fussgaenger,,keine,1.999,1.74,0.69,35:14,beidseitig,#BZU,Beton-Belag,,,SBB,,,1,Bestehend,35146555,"47.1645841839, 8.29849603522"
687052.313,235630.256,720,15.965,Giessereiweg,HG,Horgen,Strasse,PU,1926,Rampe,Beton,,,,,2.9,20.0,0.0,,Andere,,Bituminoeses Mischgut,,,SBB,,,,Bestehend,35214255,"47.2658374019, 8.58894200727"
687535.954,235182.63,720,16.637,T3 Geb. Ost,HG,Horgen,Platz,Keller,1974,Treppe,Beton,,Andere,Dienstlich,keine,0.9,3.0,0.0,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,35068366,"47.2617477033, 8.59524476622"
687519.254,235171.841,720,16.625,R5 Geb. Sud,HG,Horgen,Rampe,Platz,2013,Rampe,Beton,,Fussgaenger,,keine,1.38,16.75,1.16,14,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,137685228,"47.2616528854, 8.59502203954"
687241.939,234694.677,660,16.997,NA,HGO,Horgen Oberdorf,Geleise Fluchtweg zu Tunnel,Neugass,2003,Treppe,Beton,,Fussgaenger,,keine,1.2,1.8,0.0,,kein,,Beton-Belag,,,SBB,,,,Bestehend,35100141,"47.2573981707, 8.59126579251"
680803.176,270615.346,770,23.597,Geb.,HUEW,Huntwangen-Wil,,,,Treppe,Beton,,,,keine,0.884,1.23,0.0,,einseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35037999,"47.5812620517, 8.51270335108"
715553.843,271341.021,840,48.682,T 2 Perron 2,HM,Huttlingen-Mettendorf,Perron,PU,1977,Treppe,Beton,,Fussgaenger,,keine,1.5,6.4,2.95,16/30,einseitig,#BZU,Naturstein-Pflaesterung,Sanierung 2010,,SBB,,,2,Bestehend,35086299,"47.582589191, 8.97471708692"
696933.857,251625.684,753,4.517,T2 Per.1 PU Ost,IL,Illnau,Perron,PU,2014,Perrontreppe,Beton,,Fussgaenger,,,2.8,7.8,3.82,30/17,beidseitig,Chromstahlrohr,Naturstein-Pflaesterung,,,SBB,,,1,Bestehend,152047111,"47.4083098641, 8.72295466156"
