didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
9253;St. Moritz;01.01.2013;;CH 700;Fluggepäck (Check-in am Bahnhof);46.4979672615, 9.84639099719;194
9260;Cinuos-chel-Brail;01.01.2027;;CH 754;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.6385312048, 10.0219237532;195
9262;Zernez;;;CH 611;;46.6976679974, 10.0899416034;196
9266;Ardez;01.01.2025;01.01.2012;CH 651;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.7735451754, 10.2010487691;197
9268;Scuol-Tarasp;01.01.2013;;CH 600;Reisegepäck Express;46.7937752597, 10.2862148815;198
9369;Tirano;01.01.1931;;CH 735;Gepäckbeförderung unterliegt den Bestimmungen der CIV (siehe T 601, Ziffer 27.0);46.2151609961, 10.1667713566;199
9369;Tirano;01.01.2019;;CH 735;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2151609961, 10.1667713566;200
20;Muttenz;01.01.2013;;BS 302;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5335803903, 7.64787914262;201
21;Pratteln;01.01.2020;;BS 311;Beförderung von Gruppengepäck, Voranmeldung obligatorisch;47.522657608, 7.69080243836;202
26;Sissach;;;BS 331;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4627456535, 7.81201832437;203
170;Tramelan;01.01.1931;;BN 854;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2228109343, 7.1055695828;204
191;Saignelégier;01.01.1931;;BN 849;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2546721635, 6.99450359036;205
207;Solothurn;;;BN 950;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2041807751, 7.54268420304;206
301;Rheinfelden;01.01.2006;;BS 511;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5512096146, 7.79215393064;207
863;Montfaucon, village Reka;01.01.1931;;BN 841;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.282516149, 7.0506853286;208
1031;Gland;01.01.2029;;GEA331;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.419975355, 6.26913801937;209
1120;Lausanne;;;LS 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5167786487, 6.62909314109;210
1120;Lausanne;01.01.2013;;LS 100;Reisegepäck Express;46.5167786487, 6.62909314109;211
1157;Sentier-Orient;01.01.1931;;LS 811;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6057654715, 6.23139574664;212
1300;Montreux;;;LS 300;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.4358743527, 6.91043275261;213
1303;Villeneuve;01.01.2020;;LS 331;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3983659275, 6.92699984758;214
1399;Gstaad;01.01.2013;;LS 311;Fluggepäck (Check-in am Bahnhof);46.4748024084, 7.28441201978;215
1448;Champéry;01.01.2018;;LS 348;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.174950304, 6.87150433206;216
1463;Monthey-Ville;01.01.2013;;LS 345;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2540922785, 6.94751344179;217
1463;Monthey-Ville;01.01.2010;;LS 345;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);46.2540922785, 6.94751344179;218
1482;Leysin-Feydey;01.01.2010;;LS 342;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);46.3444423351, 7.00836910886;219
1565;Finhaut;01.01.2005;;LS 382;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.0823239833, 6.9763778892;220
1579;Le Châble;;;LS 387;Allgemeine Informationen;46.0787435892, 7.21503927316;221
1609;Brig;01.01.2013;;BR 100;Reisegepäck Express;46.3194210071, 7.98809158467;222
1656;Leukerbad;01.01.2007;;BR 260;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3797876392, 7.62640947824;223
1671;Fürgangen-Bellwald;;01.01.2012;BR 741;Gepäckauslieferung nur am Schalter;46.4119021944, 8.15231661725;224
1672;Fiesch;01.01.2029;;BR 730;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4031361683, 8.13264349687;225
1685;St. Niklaus;01.01.2019;;BR 431;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1774799214, 7.80211502022;226
1689;Zermatt;01.01.2013;;BR 400;Fluggepäck (Check-in am Bahnhof);46.0244720211, 7.74829647858;227
1691;Riffelalp;01.01.1931;;BR 402;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.0048989646, 7.75435623172;228
1694;Gornergrat;01.01.1931;;BR 401;Beförderung von Fahrrädern nach dieser Station nicht möglich;45.9833182978, 7.78220700825;229
1754;Blatten b. Naters, Belalpbahn;01.01.2011;;BR 551;Allgemeine Informationen;46.3591668639, 7.98390664287;230
1782;Saas-Fee, Post;01.01.2014;;BR 500;Allgemeine Informationen;46.1087928601, 7.92956975713;231
1782;Saas-Fee, Post;01.01.2017;;BR 500;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1087928601, 7.92956975713;232
2024;Hochdorf;;;LZ 411;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1669743615, 8.28868696709;233
2113;Aarau;;;ZUE300;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3913553369, 8.05125354274;234
2202;Rotkreuz;01.01.2017;;LZ 611;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1417586665, 8.43047453438;235
2204;Zug;;;ZUE250;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1736230527, 8.51529569481;236
2206;Baar;01.01.2003;;ZUE254;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1953625991, 8.52325583517;237
3000;Zürich HB;01.01.2013;;ZUE100;Fluggepäck (Check-in am Bahnhof);47.3781765756, 8.54019221036;238
3000;Zürich HB;;;ZUE100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3781765756, 8.54019221036;239
3006;Zürich Oerlikon;;;ZUE610;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4115288802, 8.54411523121;240
3016;Zürich Flughafen;01.01.2002;;ZFH100;Allgemeine Informationen;47.4503820775, 8.56238666028;241
3102;Erlenbach ZH;01.01.2005;;ZUE722;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3057853122, 8.59150489466;242
3106;Männedorf;01.01.2012;;ZUE727;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2534223208, 8.69233239506;243
3123;Wetzikon;;;ZUE550;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3180331432, 8.79226951209;244
3128;Dübendorf;01.01.2028;;ZUE520;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.4000750283, 8.62340719058;245
3128;Dübendorf;01.01.2029;;ZUE520;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4000750283, 8.62340719058;246
3227;Näfels-Mollis;01.01.2013;;ZUE811;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0987196928, 9.0699449253;247
3301;Pfäffikon ZH;01.01.1931;;ZUE625;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3670842127, 8.78477640275;248
3310;Glattbrugg;01.01.2029;;ZUE434;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4308254769, 8.55883224276;249
3311;Rümlang;01.01.2017;01.01.2012;ZUE435;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4540663116, 8.53274503651;250
3506;Killwangen-Spreitenbach;01.01.2029;;ZUE335;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.433328238, 8.35419430986;251
4300;Biel/Bienne;;;BN 900;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1328920532, 7.24290845288;252
4314;La Chaux-de-Fonds;01.01.2029;;BN 970;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0986436492, 6.82601877705;253
5000;Luzern;01.01.2013;;LZ 100;Reisegepäck Express;47.0501697679, 8.31017092011;254
5004;Arth-Goldau;;;LZ 631;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.04915622, 8.54949116322;255
5007;Brunnen;;;LZ 651;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9991749288, 8.61004816648;256
5163;Realp;01.01.1931;;BR 791;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5986330191, 8.5034581036;257
5165;Andermatt;;;BR 790;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6368923078, 8.59327487979;258
5307;Chiasso;01.01.2029;;BEL351;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;45.8321788009, 9.03144057629;259
6002;Winterthur Seen;01.01.2021;;ZUE642;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4874349418, 8.76678904042;260
6100;Frauenfeld;;;ZUE630;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5581599749, 8.89653893491;261
6109;Amriswil;01.01.2003;;SG 212;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5504471564, 9.30221759023;262
6139;Stein am Rhein;01.01.1931;;ZUE464;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.656108874, 8.85500693112;263
6200;Wattwil;01.01.1931;;SG 281;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2994785543, 9.0864636527;264
6206;Wil;;;SG 200;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4624092373, 9.04098327921;265
6210;Gossau SG;;;SG 222;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4118296551, 9.25303263655;266
6302;St. Gallen;01.01.2013;;SG 100;Reisegepäck Express;47.4231790668, 9.36987712043;267
6313;Rheineck;01.01.2017;;SG 241;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4668881391, 9.59090422659;268
6317;Heerbrugg;;;SG 244;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4103853071, 9.62724352946;269
6317;Heerbrugg;;;SG 244;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.4103853071, 9.62724352946;270
7089;Schwarzenburg;01.01.1931;;BN 391;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8191886776, 7.34283243216;271
7279;Lenk im Simmental;01.01.2029;;IO 312;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4585813799, 7.44352282181;272
7372;Wengen;01.01.2011;;IO 430;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6049014894, 7.92100343934;273
7380;Grindelwald;;;IO 540;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6243684278, 8.03331025897;274
7475;Kandersteg;01.01.2013;;BN 368;Reisegepäck Express;46.4955238841, 7.67126537052;275
7493;Interlaken West;01.01.2013;;IO 211;Reisegepäck Express;46.6826271766, 7.85144043072;276
7851;Adelboden, Post;01.01.2013;;BN 367;Reisegepäck Express;46.4936901019, 7.56029593916;277
8059;Jegenstorf;01.01.2005;;BN 521;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0476153289, 7.50777274234;278
8162;Roggwil Dorf;01.01.2003;01.01.1931;BN 573;Allgemeine Informationen;47.2392987852, 7.82253108329;279
8262;Walkringen;01.01.1931;;BN 632;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9476674695, 7.61899376459;280
8267;Ramsei;01.01.1931;;BN 642;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9967638644, 7.7102034568;281
8399;Engelberg;01.01.2013;;LZ 561;Reisegepäck Express;46.8195231702, 8.40264298232;282
8857;Hasliberg Goldern, Post;01.01.2006;;LZ 531;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.739659351, 8.19843169697;283
9000;Chur;;;CH 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8530797552, 9.52892561961;284
9073;Davos Platz;01.01.2013;;CH 560;Reisegepäck Express;46.7914664266, 9.82072566153;285
9253;St. Moritz;;01.01.1931;CH 700;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.4979672615, 9.84639099719;286
9255;Pontresina;;;CH 710;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.4906477887, 9.89607757913;287
9256;La Punt-Chamues-ch;01.01.2007;;CH 751;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5786698549, 9.92333691693;288
9256;La Punt-Chamues-ch;01.01.2026;01.01.2012;CH 751;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.5786698549, 9.92333691693;289
9258;Zuoz;;01.01.2018;CH 743;Gepäckbeförderung unterliegt den Bestimmungen der CIV (siehe T 601, Ziffer 27.0);46.5999530277, 9.96146378568;290
9263;Susch;01.01.2025;01.01.2012;CH 621;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.7520799199, 10.079326786;291
9265;Guarda;01.01.2019;;CH 641;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7715163582, 10.1505346597;292
9265;Guarda;01.01.2006;;CH 641;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7715163582, 10.1505346597;293
9265;Guarda;01.01.2025;01.01.2012;CH 641;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.7715163582, 10.1505346597;294
9411;Sargans;;;CH 241;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0453635269, 9.44539562754;295
9452;Flumserberg Tourismusbüro;01.01.2009;;CH 262;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0935732257, 9.28452949736;296
9752;Andeer, posta;01.01.2003;;CH 402;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6021316819, 9.42663044381;297
9776;Ftan, cumün;01.01.1931;;CH 604;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7929002125, 10.2470469836;298
9869;Sta. Maria Val Müstair, posta;01.01.2019;;CH 614;Allgemeine Informationen;46.6021401805, 10.4250184147;299
9881;Sils/Segl Maria;01.01.2003;;CH 702;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4302299828, 9.76509251285;300
10;Basel SBB;01.01.2013;01.01.1931;BS 100;Fluggepäck (Check-in am Bahnhof);47.5474041527, 7.58955146721;301
105;Moutier;01.01.2013;;BN 842;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2806661619, 7.38103944266;302
109;Delémont;;;BN 964;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3620006555, 7.35005384248;303
186;Alle;01.01.2029;;BN 820;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4241348211, 7.12833347606;304
188;Bonfol;01.01.2029;;BN 822;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4739779525, 7.15539491931;305
218;Olten;;;BS 401;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3519295325, 7.907688105;306
1008;Genève;;;GEA200;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.2102022669, 6.14245302875;307
1026;Genève-Aéroport;;;GEA100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.2325293452, 6.11198571992;308
1030;Nyon;;;GEA321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.3844060313, 6.23597429701;309
1118;Renens VD;;;LS 211;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5370287879, 6.57893884264;310
1173;Echallens;01.01.1931;;LS 261;Gepäckbeförderung einmal täglich mit Cammionage-Dienst von Montag-Freitag;46.6395002737, 6.6325409066;311
1200;Vevey;;;LS 321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.4629974303, 6.84345000982;312
1300;Montreux;01.01.2013;;LS 300;Reisegepäck Express;46.4358743527, 6.91043275261;313
1400;Aigle;;;LS 341;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.3168441199, 6.9636800936;314
1403;St-Maurice;;;LS 371;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.216363536, 7.00204915835;315
1421;Monthey;01.01.1931;;LS 361;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2556458933, 6.9552285472;316
1448;Champéry;01.01.2010;;LS 348;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);46.174950304, 6.87150433206;317
1563;Les Marécottes;01.01.2007;;LS 383;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1123112372, 7.01169234967;318
1576;Sembrancher;01.01.2019;;LS 388;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.0771013189, 7.14629384096;319
1579;Le Châble;01.01.2007;;LS 387;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.0787435892, 7.21503927316;320
1601;Leuk;01.01.1930;;BR 251;Allgemeine Informationen;46.3118851335, 7.64394777254;321
1605;Visp;01.01.2013;01.01.1931;BR 291;Gepäckauslieferung nur am Schalter;46.2940248591, 7.88145816487;322
1661;Oberwald;;;BR 781;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5308495637, 8.34294024356;323
1692;Riffelberg;01.01.1931;;BR 403;Beförderung von Fahrrädern nach dieser Station nicht möglich;45.9929508442, 7.75510046843;324
1755;Chandolin, office du tourisme;01.01.2019;;BR 236;Gepäckabfertigung im Gegenverkehr ab dieser Station nicht möglich;46.2521302278, 7.59701486843;325
1791;Zinal, poste;01.01.2021;;BR 235;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1371059632, 7.62498227897;326
2005;Nebikon;01.01.1931;;LZ 331;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.192373647, 7.97744173598;327
2195;Muhen;01.01.2013;;ZUE305;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3395251746, 8.0536094515;328
2199;Schöftland;01.01.2017;;ZUE311;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3058772399, 8.05000860649;329
2203;Cham;01.01.2018;;LZ 613;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1782423661, 8.45748408001;330
2203;Cham;01.01.2004;;LZ 613;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.1782423661, 8.45748408001;331
2213;Wohlen;;;LZ 431;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3484618374, 8.26978121872;332
2215;Muri AG;01.01.1931;;LZ 441;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2766601869, 8.3397982935;333
3001;Zürich Altstetten;01.01.1931;;ZUE310;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3914808361, 8.4889402654;334
3001;Zürich Altstetten;01.01.2011;;ZUE310;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.3914808361, 8.4889402654;335
3065;Forch;01.01.2005;;ZUE718;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3253390563, 8.64796901247;336
3104;Meilen;01.01.2012;;ZUE725;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2698122, 8.64429304135;337
3116;Uznach;;;ZUE861;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2242754695, 8.98067539571;338
3121;Rüti ZH;01.01.2017;;ZUE560;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2604821005, 8.8540677825;339
3127;Schwerzenbach ZH;01.01.2017;;ZUE530;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3843802387, 8.6586595992;340
3127;Schwerzenbach ZH;01.01.2025;;ZUE530;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.3843802387, 8.6586595992;341
3129;Wallisellen;01.01.1931;;ZUE510;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4127169827, 8.59191127027;342
3130;Hinwil;01.01.2007;;ZUE552;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3000509, 8.83969785564;343
3134;Bauma;01.01.2003;;ZUE646;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3688358029, 8.87821095251;344
3138;Wald;01.01.1931;;ZUE648;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2726849167, 8.91398907071;345
3221;Siebnen-Wangen;01.01.2019;;ZUE855;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1826674891, 8.90069892838;346
3225;Ziegelbrücke;;;ZUE801;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1361516592, 9.06003718984;347
3228;Netstal;01.01.2013;;ZUE812;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0645276001, 9.05942421662;348
3283;Einsiedeln;01.01.2020;;ZUE834;Allgemeine Informationen;47.1285821379, 8.74446828516;349
3305;Effretikon;01.01.2005;;ZUE620;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4258103324, 8.68666226267;350
3315;Dielsdorf;01.01.2005;;ZUE436;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4824133475, 8.45942183431;351
3502;Siggenthal-Würenlingen;01.01.2019;;ZUE415;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5179218559, 8.24015363326;352
4014;Palézieux;;;LS 511;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5427523751, 6.83787768542;353
4077;Gruyères;01.01.2006;;BN 235;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5826073534, 7.07325558097;354
4086;Bulle;;;BN 232;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.618188023, 7.0550371285;355
4100;Fribourg/Freiburg;01.01.2013;;BN 221;Fluggepäck (Check-in am Bahnhof);46.8032670642, 7.15102324519;356
4298;Ste-Croix;01.01.1931;;LS 442;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.819667331, 6.50031077908;357
4388;Les Ponts-de-Martel;01.01.2007;;BN 835;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9996362786, 6.73587463416;358
4489;Bern Bümpliz Nord;;;BN 281;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9458272511, 7.38974518517;359
5004;Arth-Goldau;01.01.2017;;LZ 631;Beförderung von Gruppengepäck, Voranmeldung obligatorisch;47.04915622, 8.54949116322;360
5006;Schwyz;;;LZ 641;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0263942922, 8.63213946703;361
5113;Altdorf;01.01.2025;;LZ 671;Beförderung von Gruppengepäck, Voranmeldung obligatorisch;46.8757407268, 8.63156572016;362
5300;Lugano;01.01.2022;;BEL300;Allgemeine Informationen;46.0055057275, 8.94687441524;363
5305;Mendrisio;01.01.1931;;BEL331;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;45.8691205007, 8.97860209025;364
5400;Locarno;01.01.2013;;BEL200;Reisegepäck Express;46.1724273965, 8.80135894865;365
5401;Tenero;;;BEL251;Beförderung von Gruppengepäck, Voranmeldung obligatorisch;46.1774682553, 8.85022179541;366
5955;Roveredo GR, Posta;01.01.2017;;BEL503;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2377692654, 9.12754314721;367
6000;Winterthur;01.01.2013;;ZUE600;Fluggepäck (Check-in am Bahnhof);47.5003335301, 8.72379907332;368
6002;Winterthur Seen;01.01.2008;;ZUE642;Beförderung von Gruppengepäck, Voranmeldung obligatorisch;47.4874349418, 8.76678904042;369
6013;Aadorf;01.01.2003;;ZUE226;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4881178542, 8.90328450849;370
6206;Wil;01.01.2013;;SG 200;Fluggepäck (Check-in am Bahnhof);47.4624092373, 9.04098327921;371
6286;Appenzell;01.01.2003;;SG 611;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.328286221, 9.40882608704;372
6290;Herisau;;;SG 531;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3901678809, 9.27680356449;373
6292;Degersheim;01.01.2029;;SG 541;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3724767308, 9.20028142402;374
6308;Arbon;01.01.2003;;SG 253;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5105854479, 9.43333858591;375
6311;Rorschach;;;SG 231;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4779984016, 9.50513168035;376
6393;Wittenbach;01.01.1931;;SG 511;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4628476165, 9.38853751225;377
7000;Bern;;;BN 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.948824497, 7.43911900576;378
7000;Bern;01.01.2013;;BN 100;Fluggepäck (Check-in am Bahnhof);46.948824497, 7.43911900576;379
7006;Münsingen;;;BN 351;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8733456586, 7.55942999819;380
7100;Thun;;;BN 360;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7548532939, 7.62959464395;381
7177;Merligen, Beatus;01.01.2013;;BN 362;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6962491074, 7.73806037406;382
7372;Wengen;01.01.2013;;IO 430;Reisegepäck Express;46.6049014894, 7.92100343934;383
7372;Wengen;01.01.2013;;IO 430;Fluggepäck (Check-in am Bahnhof);46.6049014894, 7.92100343934;384
7379;Mürren BLM;01.01.2013;;IO 420;Reisegepäck Express;46.5641050247, 7.89724225608;385
7492;Interlaken Ost;01.01.2013;;IO 100;Fluggepäck (Check-in am Bahnhof);46.6905054601, 7.86900513744;386
7492;Interlaken Ost;;;IO 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6905054601, 7.86900513744;387
7771;Wiler (Lötschen), Seilbahn;01.01.2010;;BR 310;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.4018355078, 7.77799838397;388
