didok,stationsbezeichnung,service,periodevon,periodebis,von1,bis1,von2,bis2,von3,bis3,Mo,Di,Mi,Do,Fr,Sa,So,Oeffnungsdauer,Dauer Mo-Fr,Dauer Sa,Dauer So,Unternehmung,geopos,ID
105,Moutier,"Billette, Abonnemente, Freizeitangebote",,01.01.2012,0001-01-01T07:38:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,11.45 Std/Min.,58.45 Std/Min.,,,CFF,"47.2806661619, 7.38103944266",24
109,Delémont,Fundservice,01.01.2012,01.01.2012,0001-01-01T07:08:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,CFF,"47.3620006555, 7.35005384248",25
109,Delémont,Geldwechsel,01.01.2012,01.01.2012,0001-01-01T07:08:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,CFF,"47.3620006555, 7.35005384248",26
109,Delémont,Geldwechsel,01.01.2012,01.01.2012,0001-01-01T08:08:28+00:53,0001-01-01T17:53:28+00:53,,,,,0,0,0,0,0,1,0,9.45 Std/Min.,48.45 Std/Min.,9.45 Std/Min.,,CFF,"47.3620006555, 7.35005384248",27
113,Laufen,Eventtickets,,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T16:53:28+00:53,,,0,0,0,0,0,1,0,7.0 Std/Min.,35.0 Std/Min.,7.0 Std/Min.,,SBB,"47.4193383263, 7.50263030739",28
113,Laufen,Gepäck,,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T15:53:28+00:53,,,0,0,0,0,0,1,0,6.0 Std/Min.,30.0 Std/Min.,6.0 Std/Min.,,SBB,"47.4193383263, 7.50263030739",29
118,Dornach-Arlesheim,"Billette, Abonnemente, Freizeitangebote",,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T13:08:28+00:53,0001-01-01T14:08:28+00:53,0001-01-01T16:53:28+00:53,,,,,,,,1,,7.0 Std/Min.,,7.0 Std/Min.,,SBB,"47.488608339, 7.61110691339",30
118,Dornach-Arlesheim,"Billette, Abonnemente, Freizeitangebote",,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.488608339, 7.61110691339",31
118,Dornach-Arlesheim,DHL,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.488608339, 7.61110691339",32
118,Dornach-Arlesheim,Eventtickets,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.488608339, 7.61110691339",33
118,Dornach-Arlesheim,Gepäck,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T13:08:28+00:53,0001-01-01T14:08:28+00:53,0001-01-01T16:53:28+00:53,,,,,,,,1,,7.0 Std/Min.,,7.0 Std/Min.,,SBB,"47.488608339, 7.61110691339",34
118,Dornach-Arlesheim,Gepäckaufbewahrung,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.488608339, 7.61110691339",35
118,Dornach-Arlesheim,Western Union,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T13:08:28+00:53,0001-01-01T14:08:28+00:53,0001-01-01T16:53:28+00:53,,,,,,,,1,,7.0 Std/Min.,,7.0 Std/Min.,,SBB,"47.488608339, 7.61110691339",36
118,Dornach-Arlesheim,Western Union,,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.488608339, 7.61110691339",37
126,Porrentruy,"Billette, Abonnemente, Freizeitangebote",01.01.2013,01.01.2012,0001-01-01T08:38:28+00:53,0001-01-01T13:03:28+00:53,0001-01-01T13:33:28+00:53,0001-01-01T18:03:28+00:53,,,0,0,0,0,0,1,0,8.55 Std/Min.,44.35 Std/Min.,8.55 Std/Min.,,CFF,"47.420909698, 7.08007451034",38
126,Porrentruy,Eventtickets,01.01.2013,01.01.2012,0001-01-01T09:28:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:03:28+00:53,,,0,0,0,0,0,0,1,7.5 Std/Min.,35.25 Std/Min.,,7.5 Std/Min.,CFF,"47.420909698, 7.08007451034",39
126,Porrentruy,Fundservice,01.01.2013,01.01.2012,0001-01-01T09:28:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:03:28+00:53,,,0,0,0,0,0,0,1,7.5 Std/Min.,35.25 Std/Min.,,7.5 Std/Min.,CFF,"47.420909698, 7.08007451034",40
126,Porrentruy,Geldwechsel,01.01.2013,01.01.2012,0001-01-01T06:53:28+00:53,0001-01-01T20:08:28+00:53,,,,,1,1,1,1,1,0,0,13.15 Std/Min.,66.15 Std/Min.,,,CFF,"47.420909698, 7.08007451034",41
126,Porrentruy,Geldwechsel,01.01.2013,01.01.2012,0001-01-01T09:28:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:03:28+00:53,,,0,0,0,0,0,0,1,7.5 Std/Min.,35.25 Std/Min.,,7.5 Std/Min.,CFF,"47.420909698, 7.08007451034",42
126,Porrentruy,Gepäck,01.01.2013,01.01.2012,0001-01-01T06:53:28+00:53,0001-01-01T20:08:28+00:53,,,,,1,1,1,1,1,0,0,13.15 Std/Min.,66.15 Std/Min.,,,CFF,"47.420909698, 7.08007451034",43
126,Porrentruy,Gepäck,01.01.2013,01.01.2012,0001-01-01T09:28:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:03:28+00:53,,,0,0,0,0,0,0,1,7.5 Std/Min.,35.25 Std/Min.,,7.5 Std/Min.,CFF,"47.420909698, 7.08007451034",44
126,Porrentruy,Western Union,01.01.2013,01.01.2012,0001-01-01T06:53:28+00:53,0001-01-01T20:08:28+00:53,,,,,1,1,1,1,1,0,0,13.15 Std/Min.,66.15 Std/Min.,,,CFF,"47.420909698, 7.08007451034",45
170,Tramelan,"Billette, Abonnemente, Freizeitangebote",01.01.2007,01.01.1931,0001-01-01T06:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,1,1,1,1,1,,,16.15 Std/Min.,81.15 Std/Min.,,,CJ,"47.2228109343, 7.1055695828",46
170,Tramelan,"Billette, Abonnemente, Freizeitangebote",01.01.2007,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,0,0,0,0,0,1,1,15.15 Std/Min.,76.15 Std/Min.,15.15 Std/Min.,15.15 Std/Min.,CJ,"47.2228109343, 7.1055695828",47
170,Tramelan,Kundendienst,01.01.2007,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,0,0,0,0,0,1,1,15.15 Std/Min.,76.15 Std/Min.,15.15 Std/Min.,15.15 Std/Min.,CJ,"47.2228109343, 7.1055695828",48
170,Tramelan,Velovermietung,01.01.2007,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,0,0,0,0,0,1,1,15.15 Std/Min.,76.15 Std/Min.,15.15 Std/Min.,15.15 Std/Min.,CJ,"47.2228109343, 7.1055695828",49
188,Bonfol,Geldwechsel,01.01.2025,,0001-01-01T06:23:28+00:53,0001-01-01T12:28:28+00:53,,,,,1,1,,1,,,,6.5 Std/Min.,18.15 Std/Min.,,,CJ,"47.4739779525, 7.15539491931",50
202,Grenchen Süd,Geldwechsel,,01.01.2010,0001-01-01T09:03:28+00:53,0001-01-01T17:43:28+00:53,,,,,,,,,,1,,8.40 Std/Min.,,8.40 Std/Min.,,SBB,"47.1887666151, 7.39817426522",51
202,Grenchen Süd,Gepäck,,01.01.2010,0001-01-01T08:03:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,11.20 Std/Min.,56.40 Std/Min.,,,SBB,"47.1887666151, 7.39817426522",52
207,Solothurn,Fundservice,,01.01.2010,0001-01-01T08:08:28+00:53,0001-01-01T19:23:28+00:53,,,,,,,,,,1,1,11.15 Std/Min.,,11.15 Std/Min.,11.15 Std/Min.,SBB,"47.2041807751, 7.54268420304",53
207,Solothurn,Geldwechsel,,01.01.2010,0001-01-01T07:38:28+00:53,0001-01-01T20:23:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,SBB,"47.2041807751, 7.54268420304",54
207,Solothurn,Gepäck,,01.01.2010,0001-01-01T07:38:28+00:53,0001-01-01T20:23:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,SBB,"47.2041807751, 7.54268420304",55
