didok;stationsbezeichnung;schliessfach_wert;schliessfach_zeit;naechste_dienststelle;entfernung;rollstuhl_billet;rollstuhl_wc;rollstuhl_verlad;mobilift;stufenloser_perronzugang;bats;autelca;automat_ktu;geopos
2306;Hünenberg Chämleten;;;;;0;0;0;0;1;;0;0;47.1691518563, 8.44989778178
2755;Niederwil AG, Post;;;;;;;;;;;;;47.3777621225, 8.29506697626
2759;Finstersee, Kirche;;;;;;;;;;;;;47.1673214741, 8.62986135032
2882;Maschwanden, Dorf;;;;;;;;;;;;;47.2349139367, 8.42645810923
2995;Neuheim, Post;;;;;;;;;;;;;47.2040731209, 8.57609905276
3001;Zürich Altstetten;3.0;;;;1;1;1;1;1;;0;2;47.3914808361, 8.4889402654
3003;Zürich Stadelhofen;4.0;;;;1;1;1;1;1;Forchbahn (S18) auf Bahnhofplatz;0;6;47.3666105569, 8.54846647022
3011;Zürich Wiedikon;;;Zürich HB;3.0;0;0;0;0;1;;0;2;47.3714716204, 8.52346258297
3020;Zürich Hardbrücke;;;Zürich HB;2.0;0;0;0;1;1;;0;2;47.3851946908, 8.51710646094
3054;Triemli;;;Zürich HB;6.0;0;0;0;0;1;Tram, Bus und Postautos ab Zürich, Triemli. Fussweg ca. 10 Minuten;0;0;47.3649963067, 8.49519706482
3057;Uetliberg;;;Zürich HB;10.0;0;0;0;0;1;;0;0;47.3523639839, 8.48765361335
3062;Egg;;;Forch;5.0;0;0;1;0;1;;;0;47.301506634, 8.68961370345
3063;Hinteregg;;;Egg;1.0;0;0;0;0;1;;0;0;47.3057376227, 8.68434347615
3067;Zollikerberg;;;Forch;4.0;0;0;1;0;1;;0;0;47.3460550549, 8.60340013877
3069;Zürich Rehalp;;;Forch;6.0;0;0;0;0;1;;0;0;47.3510155588, 8.58320425499
3078;Waldburg;;;Forch;5.0;0;0;0;0;0;;0;0;47.3454756293, 8.59302465356
3078;Waldburg;;;Zollikerberg;2.0;0;0;0;0;0;;0;0;47.3454756293, 8.59302465356
3093;Zürich Manegg;;;Zürich HB;5.0;0;0;0;0;1;;0;0;47.3383779034, 8.51967979575
3095;Sood-Oberleimbach;;;Adliswil;1.0;0;0;0;0;1;;0;0;47.3195703452, 8.52144171594
3100;Zollikon;;;Küsnacht ZH;3.0;0;0;0;0;1;;0;1;47.3373317337, 8.569717612
3100;Zollikon;;;Zürich Tiefenbrunnen;1.0;0;0;0;0;1;;0;1;47.3373317337, 8.569717612
3103;Herrliberg-Feldmeilen;;;Winkel am Zürichsee;2.0;0;0;1;0;1;;0;1;47.2818232851, 8.61271954112
3104;Meilen;;;;;1;1;1;1;1;;0;2;47.2698122, 8.64429304135
3105;Uetikon;;;Meilen;3.0;0;0;1;1;1;;0;1;47.2590294057, 8.678774746
3112;Kempraten;;;Rapperswil;2.0;0;0;0;0;0;;0;1;47.2383929337, 8.81429184846
3114;Bollingen;;;Rapperswil;5.0;;;;;;;;;47.2173491325, 8.87920107226
3116;Uznach;3.0;;;;1;1;1;1;1;;0;2;47.2242754695, 8.98067539571
3117;Kaltbrunn;;;Uznach;3.0;0;0;0;0;0;;0;1;47.2179781456, 9.02241755712
3120;Jona;;;Rapperswil;2.0;0;0;0;0;0;;0;2;47.230969801, 8.8345980429
3125;Uster;4.0;;;;1;1;1;1;1;;0;4;47.3503664551, 8.71868854805
3129;Wallisellen;3.0;;;;0;0;1;1;1;KEINE Ein-/Ausstiegshilfe für Reisende im Rollstuhl. Billettschalter hat nun eine Rampe und ist somit rollstuhlgängig.;0;2;47.4127169827, 8.59191127027
3134;Bauma;;;Fischenthal;7.0;0;0;1;0;1;;0;1;47.3688358029, 8.87821095251
3138;Wald;;;Fischenthal;7.0;0;0;0;1;1;"Stufenloser Zugang nur ab Gleis 2 möglich

Postautohaltestelle vor AG (Schalterhalle)";0;1;47.2726849167, 8.91398907071
3141;Küsnacht Goldbach;;;Küsnacht ZH;1.0;0;0;0;0;1;;0;1;47.3268539021, 8.57595174932
3148;Neugut (Abzw);;;;;;;;;;;;;47.4038310623, 8.60344450592
3182;Ottikon (Gossau ZH);;;;;;;;;;;;;47.2958615596, 8.77892058169
3192;Dürnten, Post;;;;;;;;;;;;;47.2782144314, 8.84367206068
3202;Thalwil;3.0;;;;1;1;1;1;1;Postauto ab Bahnhof, Ortsbus ab Zentrum;0;2;47.2959747213, 8.56475556229
3203;Oberrieden;;;Horgen;3.0;0;0;0;0;0;;0;1;47.2796754088, 8.57844974795
3204;Horgen;3.0;;Au ZH;0.0;0;0;1;1;1;;0;3;47.2614824887, 8.59690458831
3204;Horgen;3.0;;Horgen Oberdorf;0.0;0;0;1;1;1;;0;3;47.2614824887, 8.59690458831
3204;Horgen;3.0;;Oberrieden Dorf;0.0;0;0;1;1;1;;0;3;47.2614824887, 8.59690458831
3208;Bäch;;;Pfäffikon SZ;4.0;0;0;0;0;1;;0;1;47.2009791623, 8.72716324608
3208;Bäch;;;Richterswil;2.0;0;0;0;0;1;;0;1;47.2009791623, 8.72716324608
1883;Ferret;;;;;;;;;;;;;45.9152023367, 7.10512236418
1886;Liddes;;;;;;;;;;;;;45.9932200656, 7.18401641793
1887;Praz-de-Fort;;;;;;;;;;;;;45.9892482844, 7.12531720792
1897;Nufenen Passhöhe;;;;;;;;;;;;;46.4777297606, 8.38673351346
1898;Fieschertal, Dorfplatz;;;;;;;;;;;;;46.4243472494, 8.14310071889
1951;Varzo;;;;;;;;;;;;;46.2063040308, 8.24519524589
1955;Betten Dorf;;;Mörel;8.0;;;;;;;;;46.3751035904, 8.06806649962
1962;Simplon Hospiz, Hospiz;;;;;;;;;;;;;46.2467174001, 8.02903225573
1963;Visperterminen, Tourismusbüro;;;;;;;;;;;;;46.2580558114, 7.90268134293
1964;Zeneggen, Post;;;;;;;;;;;;;46.272198692, 7.86330116563
2005;Nebikon;;;;;0;0;0;0;1;;0;1;47.192373647, 7.97744173598
2006;Wauwil;;;Nebikon;4.0;0;0;0;0;0;;0;1;47.1838514118, 8.0190083583
2008;Nottwil;;;Sursee;5.0;0;0;1;1;1;;0;1;47.1388047171, 8.13858805823
2012;Rothenburg Dorf;;;Sursee;17.0;0;0;0;0;1;;0;1;47.0909062076, 8.27317678808
2016;Emmenfeld (Agl);;;;;;;;;;;;;47.087028167, 8.3096770198
2026;Gelfingen;;;Hochdorf;5.0;0;0;0;0;0;;0;1;47.2135545697, 8.26480670843
2029;Mosen;;;Beinwil am See;3.0;0;0;0;0;0;;0;1;47.2442873199, 8.22414905535
2032;Boniswil;;;Lenzburg;10.0;0;0;0;0;0;;0;1;47.3150345145, 8.1845453245
2086;Büron, Dorf;;;;;;;;;;;;;47.2138224132, 8.09450068949
2097;Moosleerau, Abzw.;;;;;;;;;;;;;47.2691452704, 8.06461368569
2102;Oberentfelden;;;Oberentfelden Engelplatz;0.2;0;1;0;0;1;AAR bus & bahn ab Haltestelle Engelplatz;0;1;47.3564807476, 8.04837791732
2104;Hunzenschwil;;;Lenzburg;2.0;0;0;0;0;1;;0;1;47.3882836417, 8.12567843923
2104;Hunzenschwil;;;Suhr;2.0;0;0;0;0;1;;0;1;47.3882836417, 8.12567843923
2110;Dulliken;;;Olten;4.0;0;0;0;0;0;;0;1;47.3542660407, 7.94648945968
2112;Schönenwerd SO;;;Olten;9.0;0;0;0;0;0;;0;1;47.3714221617, 8.00015594913
2115;Wildegg;;;Schinznach Bad;4.0;0;0;0;1;0;RBL + PTT auf Bahnhofplatz;0;1;47.4152733765, 8.16299733569
2116;Schinznach Bad;;;Aarau;13.0;0;0;0;0;0;;0;1;47.4517752695, 8.16692832223
2128;Holderbank AG;;;;;0;0;0;0;0;;0;1;47.4286345989, 8.16659869889
2164;Gontenschwil;;;Oberkulm;3.0;0;1;0;0;1;;0;0;47.2804026188, 8.14479179126
2164;Gontenschwil;;;Leimbach AG;4.0;0;1;0;0;1;;0;0;47.2804026188, 8.14479179126
