Bahnhof;Abkürzung;Linie;Bhf-Kat;Treppenfrei;Niveaugleich;Kanton;Bhf-Eigner;Status;Total Bahnhöfe 747;Status;;;
Schmerikon;SCME;735;4;Rampe;integral;SG;SBB;1;;;;;
Uznach;UZ;735;3;Rampe;integral;SG;SBB;1;;;;;
Benken;BNK;735;4;à Niveau;nein;SG;SBB;5;;;;;
Schänis;SCAE;735;4;à Niveau;nein;SG;SBB;5;;;;;
Nieder- und Oberurnen;NOU;736;4;à Niveau;nein;GL;SBB;5;;;;;
Näfels-Mollis;NAEF;736;3;à Niveau;integral;GL;SBB;1;;;;;
Netstal;NET;736;4;à Niveau;integral;GL;SBB;1;;;;;
Glarus;GL;736;3;à Niveau;nein;GL;SBB;5;;;;;
Ennenda;EDA;736;4;à Niveau;nein;GL;SBB;5;;;;;
Mitlödi;MIT;736;4;à Niveau;nein;GL;SBB;5;;;;;
Schwanden;SCHD;736;4;R und L;integral;GL;SBB;1;;;;;
Nidfurn-Haslen;NID;736;4;à Niveau;nein;GL;SBB;5;;;;;
Leuggelbach;LGB;736;4;à Niveau;partiell;GL;SBB;2;;;;;
Luchsingen-Hätzingen;LU;736;4;à Niveau;nein;GL;SBB;5;;;;;
Diesbach-Betschwanden;DSB;736;4;à Niveau;nein;GL;SBB;5;;;;;
Rüti GL;RUET;736;4;à Niveau;nein;GL;SBB;5;;;;;
Linthal Braunwaldbahn;LINB;736;4;à Niveau;nein;GL;SBB;5;;;;;
Linthal;LIN;736;4;à Niveau;partiell;GL;SBB;2;;;;;
Stettbach;STET;740;1;Rampe;integral;ZH;SBB;1;;;;;
Zürich Wipkingen;ZWIP;740;3;nein;nein;ZH;SBB;6;;;;;
Zürich Oerlikon;ZOER;740;1;Rampe;integral;ZH;SBB;1;;;;;
Wallisellen;WS;740;2;Rampe;integral;ZH;SBB;1;;;;;
Dübendorf;DUE;740;3;Rampe;nein;ZH;SBB;5;;;;;
Schwerzenbach ZH;SCWE;740;2;Rampe;nein;ZH;SBB;5;;;;;
Nänikon-Greifensee;NAEN;740;3;Rampe;integral;ZH;SBB;1;;;;;
Uster;UST;740;1;Rampe;nein;ZH;SBB;5;;;;;
Aathal;AAT;740;4;Rampe;integral;ZH;SBB;1;;;;;
Wetzikon;WZ;740;1;Rampe;nein;ZH;SBB;5;;;;;
Hinwil;HI;740;3;Rampe;integral;ZH;SBB;1;;;;;
Bubikon;BUB;740;3;Rampe;integral;ZH;SBB;1;;;;;
Rüti ZH;RUE;740;2;Rampe;integral;ZH;SBB;1;;;;;
Jona;JO;740;3;Rampe;integral;SG;SBB;1;;;;;
Zürich Flughafen;ZFH;750;1;Rampe;integral;ZH;SBB;1;;;;;
Opfikon;OP;750;3;Lift;partiell;ZH;SBB;2;;;;;
Kloten Balsberg;KLB;750;3;Rampe;integral;ZH;SBB;1;;;;;
Kloten;KL;750;3;Rampe;integral;ZH;SBB;1;;;;;
Bassersdorf;BSD;750;3;Rampe;partiell;ZH;SBB;2;;;;;
Effretikon;EF;750;2;Rampe;partiell;ZH;SBB;2;;;;;
Kemptthal;KE;750;4;nein;integral;ZH;SBB;3;;;;;
Dietlikon;DTL;750;3;Rampe;integral;ZH;SBB;1;;;;;
Illnau;IL;753;3;Rampe;partiell;ZH;SBB;2;;;;;
Fehraltorf;FET;753;3;Rampe;integral;ZH;SBB;1;;;;;
Pfäffikon ZH;PFZ;753;3;R oder àN;integral;ZH;SBB;1;;;;;
Kempten;KN;753;3;à Niveau;integral;ZH;SBB;1;;;;;
Winterthur Seen;WSEE;754;3;Rampe;integral;ZH;SBB;1;;;;;
Sennhof-Kyburg;SKY;754;4;à Niveau;partiell;ZH;SBB;2;;;;;
Kollbrunn;KOL;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Rikon;RN;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Rämismühle-Zell;RMZ;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Turbenthal;TU;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Wila;WILA;754;4;Rampe;integral;ZH;SBB;1;;;;;
Saland;SD;754;4;à Niveau;partiell;ZH;SBB;2;;;;;
Bauma;BMA;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Steg;STG;754;4;à Niveau;partiell;ZH;SBB;2;;;;;
Fischenthal;FI;754;4;à Niveau;nein;ZH;SBB;5;;;;;
Gibswil;GIB;754;4;à Niveau;partiell;ZH;SBB;2;;;;;
Wald;WL;754;4;à Niveau;partiell;ZH;SBB;2;;;;;
Tann-Dürnten;TD;754;4;à Niveau;integral;ZH;SBB;1;;;;;
Glattbrugg;GLB;760;3;Rampe;partiell;ZH;SBB;2;;;;;
Rümlang;RUEM;760;3;Rampe;nein;ZH;SBB;5;;;;;
Oberglatt;OGL;760;3;Rampe;nein;ZH;SBB;5;;;;;
Niederglatt;NG;760;4;Rampe;nein;ZH;SBB;5;;;;;
Bülach;BUE;760;2;Rampe;partiell;ZH;SBB;2;;;;;
Glattfelden;GF;760;4;Rampe;nein;ZH;SBB;5;;;;;
Eglisau;EGL;760;3;Rampe;partiell;ZH;SBB;2;;;;;
Hüntwangen-Wil;HUEW;760;4;Rampe;integral;ZH;SBB;1;;;;;
Rafz;RZ;760;3;Rampe;partiell;ZH;SBB;2;;;;;
Lottstetten;LOT;760;4;à Niveau;integral;D;SBB;1;;;;;
Jestetten;JE;760;4;Rampe;integral;D;SBB;1;;;;;
Neuhausen;NH;760;3;Lift;integral;SH;SBB;1;;;;;
Schaffhausen;SH;760;2;R oder L;partiell;SH;SBB;2;;;;;
Niederhasli;NIE;760;3;à Niveau;nein;ZH;SBB;5;;;;;
Dielsdorf;DI;760;3;Rampe;integral;ZH;SBB;1;;;;;
Steinmaur;STMR;760;4;à Niveau;nein;ZH;SBB;5;;;;;
Schöfflisdorf-Oberweningen;SCHO;760;4;à Niveau;integral;ZH;SBB;1;;;;;
Niederweningen Dorf;NWD;760;4;à Niveau;partiell;ZH;SBB;2;;;;;
Niederweningen;NW;760;4;à Niveau;nein;ZH;SBB;5;;;;;
Rekingen AG;REK;761;4;nein;nein;AG;SBB;6;;;;;
Mellikon;MELN;761;4;à Niveau;nein;AG;SBB;5;;;;;
Rümikon AG;RUEN;761;4;à Niveau;nein;AG;SBB;5;;;;;
Kaiserstuhl AG;KAAG;761;4;à Niveau;nein;AG;SBB;5;;;;;
Zweidlen;ZWD;761;4;à Niveau;nein;ZH;SBB;5;;;;;
Embrach-Rorbas;EMB;761;3;à Niveau;nein;ZH;SBB;5;;;;;
Pfungen;PFU;761;4;à Niveau;nein;ZH;SBB;5;;;;;
Winterthur Wülflingen;WWUE;761;4;à Niveau;nein;ZH;SBB;5;;;;;
Winterthur Töss;WTOE;761;4;à Niveau;nein;ZH;SBB;5;;;;;
Hettlingen;HET;762;4;Rampe;integral;ZH;SBB;1;;;;;
Henggart;HGT;762;3;Rampe;integral;ZH;SBB;1;;;;;
Andelfingen;AN;762;3;Rampe;integral;ZH;SBB;1;;;;;
Marthalen;MTL;762;3;Rampe;integral;ZH;SBB;1;;;;;
Dachsen;DA;762;4;Rampe;integral;ZH;SBB;1;;;;;
Schloss Laufen am Rheinfall;SLF;762;4;nein;nein;ZH;SBB;6;;;;;
Feuerthalen;FT;820;4;à Niveau;nein;ZH;SBB;5;;;;;
Langwiesen;LAN;820;4;à Niveau;integral;ZH;SBB;1;;;;;
Schlatt;SCHT;820;4;à Niveau;nein;TG;SBB;5;;;;;
St. Katharinental;STKT;820;4;à Niveau;integral;TG;SBB;1;;;;;
Diessenhofen;DSH;820;4;à Niveau;nein;TG;SBB;5;;;;;
Schlattingen;SCHN;820;4;à Niveau;integral;TG;SBB;1;;;;;
Etzwilen;EW;820;4;à Niveau;nein;TG;SBB;5;;;;;
Stein am Rhein;STR;820;3;nein;integral;SH;SBB;3;;;;;
Eschenz;EZ;820;4;à Niveau;nein;TG;SBB;5;;;;;
Mammern;MAM;820;4;à Niveau;nein;TG;SBB;5;;;;;
Steckborn;STK;820;4;à Niveau;nein;TG;SBB;5;;;;;
Berlingen;BER;820;4;à Niveau;integral;TG;SBB;1;;;;;
Mannenbach-Salenstein;MANN;820;4;à Niveau;integral;TG;SBB;1;;;;;
Ermatingen;ERM;820;4;à Niveau;nein;TG;SBB;5;;;;;
Triboltingen;TRIB;820;4;à Niveau;integral;TG;SBB;1;;;;;
Tägerwilen-Gottlieben;TAEG;820;4;à Niveau;partiell;TG;SBB;2;;;;;
Kreuzlingen;KR;820;3;Rampe;integral;TG;SBB;1;;;;;
Kreuzlingen Hafen;KRH;820;3;à Niveau;nein;TG;SBB;5;;;;;
Kurzrickenbach Seepark;KURZ;820;4;à Niveau;nein;TG;SBB;5;;;;;
Bottighofen;BOT;820;4;à Niveau;integral;TG;SBB;1;;;;;
Münsterlingen-Scherzingen;MSCH;820;4;à Niveau;integral;TG;SBB;1;;;;;
Münsterlingen Spital;MSPI;820;4;à Niveau;integral;TG;SBB;1;;;;;
Landschlacht;LDS;820;4;à Niveau;integral;TG;SBB;1;;;;;
Altnau;ALN;820;4;à Niveau;integral;TG;SBB;1;;;;;
Güttingen;GUET;820;4;à Niveau;nein;TG;SBB;5;;;;;
Kesswil;KWL;820;4;à Niveau;integral;TG;SBB;1;;;;;
Uttwil;UTW;820;4;à Niveau;integral;TG;SBB;1;;;;;
Winterthur Wallrüti;WWAL;821;4;à Niveau;integral;ZH;SBB;1;;;;;
Reutlingen;REUT;821;4;à Niveau;nein;ZH;SBB;5;;;;;
Seuzach;SEU;821;3;Rampe;integral;ZH;SBB;1;;;;;
Dinhard;DIH;821;4;à Niveau;integral;ZH;SBB;1;;;;;
Thalheim-Altikon;TLH;821;4;à Niveau;nein;ZH;SBB;5;;;;;
Ossingen;OSS;821;4;à Niveau;nein;ZH;SBB;5;;;;;
Stammheim;STM;821;4;nein;nein;ZH;SBB;6;;;;;
Oberwinterthur;OWT;840;3;Rampe;integral;ZH;SBB;1;;;;;
Wiesendangen;WD;840;4;Rampe;nein;ZH;SBB;5;;;;;
Rickenbach-Attikon;RIK;840;4;Rampe;nein;ZH;SBB;5;;;;;
Islikon;ISL;840;4;Rampe;partiell;TG;SBB;2;;;;;
Frauenfeld;FF;840;2;Rampe;integral;TG;SBB;1;;;;;
Felben-Wellhausen;FEL;840;4;Rampe;nein;TG;SBB;5;;;;;
Hüttlingen-Mettendorf;HM;840;4;Rampe;nein;TG;SBB;5;;;;;
Müllheim-Wigoltingen;MUEL;840;4;nein;nein;TG;SBB;6;;;;;
Märstetten;MAER;840;4;Rampe;partiell;TG;SBB;2;;;;;
Weinfelden;WF;840;2;Rampe;integral;TG;SBB;1;;;;;
Bürglen;BGL;840;4;Rampe;partiell;TG;SBB;2;;;;;
Sulgen;SLG;840;4;R oder àN;nein;TG;SBB;5;;;;;
Erlen;ERL;840;4;à Niveau;integral;TG;SBB;1;;;;;
Oberaach;OA;840;4;à Niveau;integral;TG;SBB;1;;;;;
Amriswil;AW;840;3;Rampe;integral;TG;SBB;1;;;;;
Romanshorn;RH;840;2;Rampe;partiell;TG;SBB;2;;;;;
Egnach;EGN;845;4;à Niveau;integral;TG;SBB;1;;;;;
Arbon Seemoosriet;ARBS;845;4;à Niveau;integral;TG;SBB;1;;;;;
Arbon;ARB;845;3;à Niveau;integral;TG;SBB;1;;;;;
Steinach;STCH;845;4;à Niveau;integral;SG;SBB;1;;;;;
Horn;HN;845;4;Rampe;integral;SG;SBB;1;;;;;
Rorschach Hafen;RSHF;845;3;à Niveau;integral;SG;SBB;1;;;;;
Winterthur;W;850;1;Rampe;partiell;ZH;SBB;2;;;;;
Winterthur Grüze;WGR;850;3;nein;partiell;ZH;SBB;4;;;;;
Winterthur Hegi;WHE;850;4;Rampe;integral;ZH;SBB;1;;;;;
Räterschen;RAET;850;4;Rampe;integral;ZH;SBB;1;;;;;
Schottikon;SCHK;850;4;à Niveau;integral;ZH;SBB;1;;;;;
Elgg;EL;850;3;Rampe;partiell;ZH;SBB;2;;;;;
Aadorf;AD;850;3;Rampe;partiell;TG;SBB;2;;;;;
Guntershausen;GUN;850;4;nein;partiell;TG;SBB;4;;;;;
Eschlikon;ESL;850;4;Rampe;partiell;TG;SBB;2;;;;;
Sirnach;SIR;850;4;Rampe;partiell;TG;SBB;2;;;;;
Wil SG;WIL;850;1;R oder L;partiell;SG;SBB;2;;;;;
Uzwil;UZW;850;3;Rampe;integral;SG;SBB;1;;;;;
Flawil;FLA;850;3;Rampe;integral;SG;SBB;1;;;;;
Gossau SG;GSS;850;2;Rampe;partiell;SG;SBB;2;;;;;
St. Gallen Winkeln;SGWI;850;4;Rampe;integral;SG;SBB;1;;;;;
St. Gallen Bruggen;SGBR;850;4;nein;partiell;SG;SBB;4;;;;;
St. Gallen;SG;850;1;Rampe;integral;SG;SBB;1;;;;;
Kradolf;KRA;852;4;à Niveau;integral;TG;SBB;1;;;;;
Bischofszell Nord;BZN;852;4;Rampe;nein;TG;SBB;5;;;;;
Sitterdorf;SIT;852;4;à Niveau;integral;TG;SBB;1;;;;;
Bischofszell Stadt;BZS;852;4;à Niveau;nein;TG;SBB;5;;;;;
Hauptwil;HPT;852;4;à Niveau;nein;TG;SBB;5;;;;;
Arnegg;ARN;852;4;à Niveau;nein;SG;SBB;5;;;;;
Bazenheid;BAZ;853;4;à Niveau;integral;SG;SBB;1;;;;;
Lütisburg;LUET;853;4;à Niveau;integral;SG;SBB;1;;;;;
Bütschwil;BUET;853;4;à Niveau;integral;SG;SBB;1;;;;;
Dietfurt;DTF;853;4;à Niveau;integral;SG;SBB;1;;;;;
Kaltbrunn;KAB;870;4;à Niveau;nein;SG;SBB;5;;;;;
St. Gallen St. Fiden;SGF;880;3;nein;nein;SG;SBB;6;;;;;
Mörschwil;MOER;880;4;nein;nein;SG;SBB;6;;;;;
Goldach;GOL;880;4;Rampe;integral;SG;SBB;1;;;;;
Rorschach Stadt;RSST;880;3;à Niveau;nein;SG;SBB;5;;;;;
Rorschach;RS;880;3;Rampe;partiell;SG;SBB;2;;;;;
Staad;STA;880;4;à Niveau;partiell;SG;SBB;2;;;;;
Rheineck;RCK;880;3;Rampe;integral;SG;SBB;1;;;;;
St. Margrethen;SMG;880;3;Rampe;integral;SG;SBB;1;;;;;
Au SG;AUSG;880;4;à Niveau;integral;SG;SBB;1;;;;;
Heerbrugg;HEBG;880;3;Rampe;integral;SG;SBB;1;;;;;
Rebstein-Marbach;REB;880;4;à Niveau;integral;SG;SBB;1;;;;;
Altstätten SG;ALT;880;3;Rampe;integral;SG;SBB;1;;;;;
Oberriet;ORT;880;4;Rampe;integral;SG;SBB;1;;;;;
Rüthi SG;RTH;880;4;à Niveau;integral;SG;SBB;1;;;;;
Salez-Sennwald;SAS;880;4;à Niveau;integral;SG;SBB;1;;;;;
Buchs SG;BU;880;3;R oder L;integral;SG;SBB;1;;;;;
Sevelen;SEV;880;4;à Niveau;integral;SG;SBB;1;;;;;
Ziegelbrücke;ZB;900;3;Rampe;integral;SG;SBB;1;;;;;
Mühlehorn;MH;900;4;à Niveau;integral;GL;SBB;1;;;;;
Murg;MG;900;4;nein;nein;SG;SBB;6;;;;;
Unterterzen;UNT;900;4;nein;nein;SG;SBB;6;;;;;
Mols;MOLS;900;4;Rampe;nein;SG;SBB;5;;;;;
Walenstadt;WAL;900;4;Rampe;integral;SG;SBB;1;;;;;
Flums;FMS;900;4;nein;nein;SG;SBB;6;;;;;
Mels;MELS;900;4;Rampe;nein;SG;SBB;5;;;;;
Sargans;SA;900;2;Rampe;partiell;SG;SBB;2;;;;;
Bad Ragaz;BRAG;900;3;Rampe;integral;SG;SBB;1;;;;;
Maienfeld;MF;900;4;Rampe;integral;GR;SBB;1;;;;;
Landquart;LQ;900;2;Rampe;integral;GR;SBB;1;;;;;
Chur;CH;900;1;Rampe;integral;GR;SBB;1;;;;;
