y;x;Linie;Km;BPS;BPS Name;PerronTyp;P-Nr;Kanten-L=;PK-H=;Bem Hohe;Hilfstritt;H-Verl;Bem H-Verlauf;Material;Bem Material;Kantenkrone;Bem Kantenkrone;Auftritt;Bem Auftritt;Fotos;FID;y2;x2;1_koord;2_koord
668970.236;254109.163;710;16.245;KLW;Killwangen-Spreitenbach;Mittelperron;5/6;224.14;P 55;;;konstant;;Ortsbeton;;Beton;;Beton;;0;35309638;669170.552;254008.628;47.4341676684, 8.35287298508;47.4332424921, 8.35551250376
667385.243;255808.591;710;18.658;NHOF;Neuenhof;Aussenperron;2;323.87;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35368637;667218.295;256085.593;47.4496155926, 8.33212107557;47.4521238712, 8.32994932298
665961.246;257033.871;710;20.563;WE;Wettingen;Aussenperron;5;334.81;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35329671;666215.672;256816.292;47.460779367, 8.3134221921;47.4587970275, 8.31676390282
665451.885;258555.022;710;22.38;BD;Baden;Hausperron;1;38.06;P 35;;;konstant;;Fertigelement;;Andere;;Kein;;0;160271038;665464.481;258590.939;47.4745106098, 8.30689060621;47.4748323731, 8.30706295932
665511.268;258826.433;710;22.586;BD;Baden;Hausperron;1;28.1;<=P20;;;nicht konstant;;Mauerwerk;;Naturstein;;Kein;;0;166033401;665516.165;258854.102;47.4769456107, 8.30771816645;47.4771939617, 8.30778719103
665520.919;258889.654;710;22.649;BD;Baden;Dienstperron;1a;80.13;<=P20;10 cm;;konstant;;Andere;;Andere;;Kein;;0;35357462;665518.949;258969.596;47.477513222, 8.30785547744;47.4782323692, 8.30784108915
661571.028;260341.264;710;27.241;TG;Turgi;Aussenperron;4;327.55;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35337579;661274.107;260479.481;47.4909497597, 8.25565868925;47.4922205347, 8.25173788814
661573.982;260349.2;710;27.242;TG;Turgi;Mittelperron;2/3;328.33;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35337563;661276.265;260487.496;47.491020855, 8.25569898157;47.4922924161, 8.25176762478
658245.592;259408.328;710;30.973;BG;Brugg AG;Mittelperron;2/3;48.99;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35314556;658204.97;259381.296;47.4828622986, 8.21141187916;47.4826227814, 8.21086942295
681319.051;248870.364;711;2.037;ZHDB;Zurich Hardbrucke;Mittelperron;2/3;320.08;P 42;;;konstant;;Fertigelement;;Beton;;Kein;;0;35336063;681618.965;248758.66;47.385643845, 8.51559310127;47.3846021616, 8.51954420359
679489.831;249437.358;711;3.966;ZAS;Zurich Altstetten;Mittelperron;3/4;375.84;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35323690;679139.041;249572.26;47.3909662989, 8.49147108414;47.3922217625, 8.48684927723
675284.768;245743.543;711;12.519;BIR;Birmensdorf ZH;Hausperron;1;318.17;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35362802;675575.853;245615.113;47.358239842, 8.43515980868;47.357051489, 8.43899077445
676047.411;239304.389;711;21.897;HED;Hedingen;Hausperron;1;316.77;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35360548;676248.374;239059.651;47.3002408778, 8.44416166717;47.2980165845, 8.44677703411
677142.374;232981.595;711;29.002;MTM;Mettmenstetten;Hausperron;1;40.89;P 35;;;konstant;;Fertigelement;;Beton;;Kein;;0;35360820;677151.451;232941.731;47.2432480625, 8.45755275694;47.2428884722, 8.45766579907
678757.208;227672.953;711;34.647;STE;Steinhausen;Mittelperron;2/3;330.44;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35370837;678830.766;227350.819;47.1953123284, 8.47795102998;47.1924063156, 8.47886528102
686210.269;232596.485;712;17.331;SBG;Sihlbrugg;Hausperron;1;44.69;<=P20;15 cm;nicht vorhanden;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35323545;686194.997;232554.547;47.2386632953, 8.57723511508;47.2382881122, 8.57702540622
681686.297;247539.138;720;2.591;ZWIE;Zurich Wiedikon;Mittelperron;2/3;18.16;P 30;;;Karrenueberfahrten;Absenkrampe;Mauerwerk;;Naturstein;;Kein;;0;35351437;681698.691;247526.129;47.3736261813, 8.52021320993;47.3735076496, 8.52037492064
681698.691;247526.129;720;2.609;ZWIE;Zurich Wiedikon;Mittelperron;2/3;323.78;P 55;;;konstant;;Ortsbeton;;Naturstein;;Andere;alte Perronkante;0;35375570;681926.752;247296.31;47.3735076496, 8.52037492064;47.37141248, 8.52335216729
