y;x;Linie;Km;BPS;BPS Name;PerronTyp;P-Nr;Kanten-L=;PK-H=;Bem Hohe;Hilfstritt;H-Verl;Bem H-Verlauf;Material;Bem Material;Kantenkrone;Bem Kantenkrone;Auftritt;Bem Auftritt;Fotos;FID;y2;x2;1_koord;2_koord
720924.294;258028.752;850;110.291;WIL;Wil;Mittelperron;4/5;57.94;P 35;;;konstant;;Fertigelement;;Beton;;Kein;;0;35373451;720868.109;258042.535;47.4619185967, 9.04247135291;47.4620528628, 9.04173010117
720680.242;258069.781;850;110.75;WIL;Wil;Mittelperron;2/3;194.75;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35327488;720873.894;258049.33;47.4623323603, 9.03924643681;47.4621129011, 9.04180864919
720615.533;258080.091;850;110.816;WIL;Wil;Mittelperron;2/3;45.2;<=P20;15 cm;;auslaufend;;Ortsbeton;;Naturstein;;Kein;;0;35320115;720571.256;258088.74;47.4624369392, 9.03839120646;47.4625228306, 9.03780644592
711516.655;259157.542;850;120.864;GUN;Guntershausen;Mittelperron;1/2;9.52;P 35;;nicht vorhanden;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35353862;711508.558;259162.548;47.4737314869, 8.91800880789;47.4737778758, 8.91790267027
710389.16;260720.218;850;122.881;AD;Aadorf;Mittelperron;1/2;170.29;P 55;inkl. 20 cm Hilfstritt;vorhanden;konstant;;Fertigelement;;Beton;;Andere;alte Perronkante;0;35358456;710237.242;260797.161;47.4879738952, 8.90344191988;47.4886912856, 8.90144553459
710386.766;260715.889;850;122.881;AD;Aadorf;Mittelperron;1/2;170.2;P 55;inkl. 20 cm Hilfstritt;vorhanden;konstant;;Fertigelement;;Beton;;Andere;alte Perronkante;0;35358470;710234.414;260791.587;47.4879353693, 8.90340908752;47.4886416364, 8.90140663751
710234.347;260791.464;850;123.051;AD;Aadorf;Mittelperron;1/2;41.4;P 35;;;konstant;;Fertigelement;;Beton;;Kein;;0;35316950;710198.497;260812.167;47.4886405416, 8.90140571821;47.4888327207, 8.90093522813
707565.32;261810.576;850;125.931;EL;Elgg;Mittelperron;2/3;107.23;P 35;;nicht vorhanden;konstant;;Fertigelement;;Beton;;Kein;;0;35350371;707461.097;261835.795;47.4982469435, 8.86624238343;47.4984907704, 8.8648655138
707459.426;261828.69;850;126.038;EL;Elgg;Mittelperron;2/3;170.22;P 55;inkl. 20 cm Hilfstritt;vorhanden;konstant;;Fertigelement;;Andere;Stahl;Andere;alte Perronkante;0;35334117;707293.159;261865.146;47.4984271526, 8.86484162688;47.4987821412, 8.86264417291
703451.492;261957.666;850;130.506;SCHK;Schottikon;Aussenperron;2;220.33;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35342383;703232.806;261974.639;47.5002299905, 8.81168875935;47.5004170031, 8.80879076395
703449.736;261949.521;850;130.508;SCHK;Schottikon;Hausperron;1;81.08;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35374369;703368.781;261947.354;47.5001570229, 8.81166356585;47.5001502724, 8.81058880464
702306.613;261737.735;850;131.727;RAET;Raterschen;Hausperron;1;170.22;P 55;inkl. 20 cm Hilfstritt;vorhanden;konstant;;Fertigelement;;Beton;;Andere;alte Perronkante;0;35317065;702145.012;261791.2;47.4984314477, 8.79644583919;47.4989373663, 8.79431374459
698978.957;261723.517;850;135.205;WGR;Winterthur Gruze;Mittelperron;6/7;271.73;P 25;;nicht vorhanden;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35345446;698722.362;261811.618;47.4988130889, 8.75228614892;47.4996439364, 8.74890074439
698793.995;261791.563;850;135.402;WGR;Winterthur Gruze;Mittelperron;6/7;74.11;P 20;;nicht vorhanden;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35366704;698724.609;261817.546;47.4994528267, 8.74984685706;47.4996969073, 8.74893187562
698698.25;261811.869;850;135.499;WGR;Winterthur Gruze;Mittelperron;4/5;20.15;P 25;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35350442;698679.344;261818.838;47.4996498145, 8.74858083682;47.4997153227, 8.7483315004
698696.634;261807.154;850;135.499;WGR;Winterthur Gruze;Mittelperron;4/5;288.05;P 55;;;konstant;;Fertigelement;;Beton;;Kein;;0;35345207;698962.48;261696.305;47.4996076569, 8.74855834802;47.4985708623, 8.75206145947
698696.634;261807.154;850;135.499;WGR;Winterthur Gruze;Mittelperron;4/5;20.18;P 25;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35374580;698677.992;261814.87;47.4996076569, 8.74855834802;47.4996798429, 8.74831268049
731425.052;266764.78;852;0.065;SLG;Sulgen;Mittelperron;2/3;20.46;P 30;;nicht vorhanden;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35331009;731444.53;266758.508;47.5384554892, 9.1842790655;47.5383951961, 9.184535843
735261.987;262639.459;852;6.793;BZN;Bischofszell Nord;Aussenperron;3;117.11;P 42;;;konstant;;Fertigelement;;Beton;;Kein;;0;35320336;735343.822;262723.212;47.5005837875, 9.23397181261;47.501320006, 9.23508309017
735867.841;261719.636;852;10.028;BZS;Bischofszell Stadt;Hausperron;1;103.9;P 42;;vorhanden;konstant;;Fertigelement;;Beton;;Beton;;0;35327922;735790.423;261650.339;47.4921882138, 9.24172997768;47.4915811259, 9.24068180184
735790.423;261650.339;852;10.132;BZS;Bischofszell Stadt;Hausperron;1;22.32;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35355068;735774.046;261635.443;47.4915811259, 9.24068180184;47.4914505711, 9.24046000163
736575.007;260061.973;852;14.295;HPT;Hauptwil;Hilfskante;1;107.19;P 42;;vorhanden;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35328356;736670.826;260013.933;47.4771367399, 9.25060341882;47.4766848752, 9.25185949345
736615.473;260036.601;852;14.342;HPT;Hauptwil;Hilfskante;2;37.55;P 42;;vorhanden;konstant;;Fertigelement;;Beton;;Kein;;0;35368658;736649.118;260019.932;47.4769001994, 9.25113232507;47.4767433275, 9.25157343153
736776.787;256199.428;852;18.547;ARN;Arnegg;Hausperron;2;3.11;P 35;;nicht vorhanden;auslaufend;;Fertigelement;;Beton;;Kein;;0;35328103;736776.13;256196.547;47.4423643526, 9.25209510785;47.4423385842, 9.25208551719
736750.707;256107.505;852;18.643;ARN;Arnegg;Hausperron;2;14.69;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35363516;736746.556;256093.588;47.4415432345, 9.25172128334;47.4414189604, 9.25166200365
736803.993;252792.577;852;22.822;GSS;Gossau SG;Hausperron;1;88.57;P 20;;nicht vorhanden;konstant;;Mauerwerk;;Naturstein;;Kein;;0;35361735;736892.401;252797.938;47.411725334, 9.25141208244;47.4117551599, 9.25258479892
552322.64;201972.12;223;10.404;CHN;Chambrelien;Hausperron;1;120.28;P 35;Y compris marche auxiliaire;vorhanden;Karrenueberfahrten;;Andere;Granit;Naturstein;;Kein;;0;35314537;552401.141;202063.231;46.9671031574, 6.81214351272;46.9679283341, 6.81316542095
555472.664;207188.85;224;16.802;GEC;Les Geneveys-sur-Coffrane;Hausperron;1;126.55;P 35;;vorhanden;Karrenueberfahrten;;Andere;Granit;Naturstein;;Kein;;0;35314586;555503.328;207311.621;47.0142461582, 6.85302097203;47.0153525233, 6.85341216971
557101.855;210789.137;224;20.925;HGV;Les Hauts-Geneveys;Mittelperron;2/3;57.45;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Ancien quai granit;0;35358220;557128.293;210840.133;47.0467376637, 6.87410536805;47.0471980758, 6.87444843442
553597.145;216645.076;224;29.318;CF;La Chaux-de-Fonds;Mittelperron;5/6;37.92;<=P20;15;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35355587;553567.561;216621.354;47.0991733443, 6.82738459352;47.0989578951, 6.826997353
553557.531;216633.82;224;29.356;CF;La Chaux-de-Fonds;Mittelperron;3/4;160.04;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Granit;0;121855589;553433.225;216533.018;47.0990693172, 6.8268639546;47.0981538906, 6.8252369973
553567.561;216621.354;224;29.356;CF;La Chaux-de-Fonds;Mittelperron;5/6;160.49;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Granit;0;35363908;553442.951;216520.208;47.0989578951, 6.826997353;47.0980393548, 6.82536642809
553562.511;216627.672;224;29.356;CF;La Chaux-de-Fonds;Mittelperron;5/6;160.02;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Granit;0;35323562;553438.247;216526.858;47.0990143683, 6.8269301841;47.0980988376, 6.82530378179
553546.015;216644.602;224;29.358;CF;La Chaux-de-Fonds;Mittelperron;1/2;143.57;<=P20;15;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35341690;553434.369;216554.344;47.0991654878, 6.82671115536;47.0983457908, 6.82524986476
585550.529;226525.853;225;41.961;REU;Reuchenette-Pery;Zwischenperron;1/2;148.3;P 35;Y compris 15 cm. marche aux.;vorhanden;konstant;;Fertigelement;;Beton;;Kein;;0;35325589;585406.753;226562.194;47.189521595, 7.24797175161;47.1898452947, 7.24607348948
579639.861;227177.113;225;48.192;SCB;Sonceboz-Sombeval;Hausperron;1;176.55;P 30;;;Karrenueberfahrten;;Fertigelement;;Beton;;Kein;;0;35311947;579465.396;227150.725;47.1952230795, 7.16995302574;47.1949803088, 7.16765198461
579639.584;227164.953;225;48.193;SCB;Sonceboz-Sombeval;Mittelperron;2/3;174.82;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35351364;579467.496;227137.025;47.195113696, 7.16994992229;47.1948571475, 7.16768032318
577751.323;226985.078;225;50.191;COG;Corgemont;Aussenperron;1;150.16;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Pose sur ancien quai;0;35366517;577611.349;226930.728;47.1934346739, 7.14504132932;47.1929410701, 7.14319700052
561044.352;219545.603;225;69.029;RE;Renan BE;Zwischenperron;1/3;60.3;<=P20;P 10;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35352973;560996.672;219510.876;47.1257438246, 6.92522984543;47.1254286518, 6.92460449065
581996.073;229857.644;226;55.101;TA;Tavannes;Zwischenperron;1/2;155.86;P 20;;;Karrenueberfahrten;;Fertigelement;;Beton;;Kein;;0;35356104;582116.067;229957.106;47.2194021648, 7.2009380907;47.220300061, 7.2025182861
581997.553;229856.206;226;55.102;TA;Tavannes;Zwischenperron;1/2;155.65;P 35;;vorhanden;Karrenueberfahrten;;Fertigelement;;Beton;;Kein;;0;35340439;582117.716;229955.095;47.2193892711, 7.20095768751;47.2202820177, 7.2025401369
583941.372;231602.732;226;57.952;REC;Reconvilier;Zwischenperron;2/3;143.0;P 20;;;konstant;;Fertigelement;;Beton;;Kein;;0;35321743;584081.615;231630.597;47.2351489259, 7.22655743442;47.2354029724, 7.22840848505
583948.398;231598.708;226;57.958;REC;Reconvilier;Zwischenperron;1/2;137.1;P 25;;;Karrenueberfahrten;;Fertigelement;;Beton;;Kein;;0;35321761;584083.233;231623.518;47.2351129033, 7.22665036373;47.235339339, 7.22843010415
586020.253;232017.002;226;60.107;PON;Pontenet;Aussenperron;1;84.07;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;40291034;586099.157;231988.036;47.2389226457, 7.25399810247;47.2386637839, 7.25504107963
592647.61;232159.699;226;66.991;CT;Court;Zwischenperron;2/3;139.26;P 25;;;nicht konstant;;Andere;Goudron;Beton;;Kein;;0;35338760;592770.57;232225.083;47.2403139806, 7.34152273353;47.2409034551, 7.34314563648
592771.283;232223.652;226;67.13;CT;Court;Zwischenperron;2/3;139.2;P 25;;;konstant;;Andere;Goudron;Beton;;Kein;;0;35312705;592648.407;232158.243;47.2408905917, 7.34315507661;47.2403008934, 7.34153328377
595472.159;236538.279;226;73.194;MOU;Moutier;Mittelperron;4/5;251.63;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35310023;595697.23;236640.772;47.2797230789, 7.3787824664;47.2806464842, 7.38175623637
595471.534;236540.988;226;73.195;MOU;Moutier;Mittelperron;4/5;388.26;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35352633;595759.38;236768.454;47.2797474407, 7.37877417798;47.2817953294, 7.38257646155
593529.376;245731.826;226;84.383;DMT;Delemont;Mittelperron;2/3;20.03;P 35;;;konstant;;Fertigelement;;Beton;;Kein;;0;35341782;593509.957;245726.931;47.3623970659, 7.35297041451;47.3623528457, 7.35271342665
593324.73;245656.753;226;84.6;DMT;Delemont;Zwischenperron;4/5;149.44;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Ancien quai;0;122757338;593180.392;245618.031;47.3617197724, 7.3502625386;47.3613700005, 7.3483524804
600013.746;249672.932;230;94.158;LSB;Liesberg;Dienstperron;2;85.81;P 25;;;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35346439;600055.44;249747.788;47.3978768464, 7.4388070292;47.3985501182, 7.4393593202
602740.138;249966.345;230;97.371;BAER;Barschwil;Dienstperron;11;185.31;P 25;;;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35364283;602919.728;250010.153;47.4005104561, 7.47492356074;47.4009037209, 7.47730287193
604802.724;251918.209;230;100.462;LFN;Laufen;Hausperron;1/2;170.38;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35312147;604846.551;252082.859;47.4180542416, 7.50226734122;47.4195348091, 7.50284987005
611493.714;254480.433;230;108.863;GREL;Grellingen;Aussenperron;3;220.25;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35338378;611711.655;254508.63;47.4410169733, 7.59099766542;47.441266757, 7.59388766292
613504.276;262624.279;230;118.397;MST;Munchenstein;Hausperron;1;50.04;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35314321;613520.075;262671.755;47.5142242437, 7.61789737886;47.5146509113, 7.61810855117
595468.277;236552.788;232;0.208;MOU;Moutier;Hausperron;2;382.43;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35360883;595749.634;236778.181;47.2798535531, 7.37873100905;47.2818827551, 7.38244754971
579456.606;246328.524;240;101.602;SU;St-Ursanne;Hilfskante;1/2;114.57;P 35;;vorhanden;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35347136;579347.412;246363.204;47.3674736869, 7.16665499647;47.3677821784, 7.16520780072
579433.037;246341.176;240;101.628;SU;St-Ursanne;Hausperron;1;97.96;P 55;;;konstant;;Fertigelement;;Beton;;Andere;Ancien quai;0;35314826;579339.499;246370.217;47.3675867434, 7.16634238926;47.3678450058, 7.16510271706
572976.656;252386.411;240;112.97;POR;Porrentruy;Hausperron;1;43.9;P 20;;;konstant;;Andere;Granite;Naturstein;;Kein;;0;35363499;572987.606;252428.92;47.4217242037, 7.08050177862;47.422106982, 7.0806443106
571135.532;256146.836;240;117.938;CTM;Courtemaiche;Hilfskante;3;106.19;P 20;;vorhanden;Karrenueberfahrten;;Ortsbeton;;Beton;;Kein;;0;35325797;571087.476;256241.525;47.455466935, 7.05585903015;47.456316443, 7.05521562513
544935.495;149727.544;250;8.204;GRV;Grandvaux;Aussenperron;3;149.7;P 55;P 50;;konstant;;Fertigelement;;Andere;Element prefabrique;Gitterrost;;0;35333150;545080.833;149763.426;46.4965878894, 6.72136874608;46.4969226171, 6.72325754837
545045.988;149762.971;250;8.32;GRV;Grandvaux;Hausperron;1/2;33.84;P 42;;;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35333134;545078.862;149770.984;46.4969156595, 6.72280373282;46.496990441, 6.72323097581
548367.175;149419.797;250;12.2;PUI;Puidoux-Chexbres;Hausperron;1;74.92;P 25;;;nicht konstant;;Mauerwerk;;Naturstein;;Kein;;0;35342222;548405.906;149483.648;46.494093607, 6.766102097;46.4946709561, 6.7665994207
548377.984;149413.022;250;12.2;PUI;Puidoux-Chexbres;Mittelperron;2/3;34.44;P 25;;nicht vorhanden;nicht konstant;;Mauerwerk;;Naturstein;;Kein;;0;35348083;548394.304;149443.104;46.4940334991, 6.76624363965;46.4943053556, 6.7664528397
549867.172;150940.078;250;14.561;MRL;Moreillon;Aussenperron;2;166.18;P 20;;;konstant;;Mauerwerk;;Naturstein;;Kein;;0;35341386;549913.981;151099.53;46.5078832064, 6.78547405201;46.5093210348, 6.7860665691
553858.499;154633.019;250;20.432;PAL;Palezieux;Zwischenperron;2/3;288.58;P 55;;;Karrenueberfahrten;;Fertigelement;;Beton;;Gitterrost;;0;35313701;553977.797;154889.994;46.5413900727, 6.83710408449;46.543709882, 6.83863360593
553852.635;154633.655;250;20.432;PAL;Palezieux;Zwischenperron;2/3;292.67;P 55;;;konstant;;Fertigelement;;Andere;Element prefabrique;Gitterrost;;0;35372772;553975.111;154892.779;46.5413953883, 6.83702757617;46.5437347488, 6.83859831072
553872.838;154678.11;250;20.479;PAL;Palezieux;Aussenperron;1;317.61;P 30;;;konstant;;Ortsbeton;;Naturstein;;Beton;;0;35364893;554042.275;154938.201;46.5417966719, 6.83728649558;46.5441479622, 6.83946938331
553891.047;158092.191;250;24.369;OR;Oron;Hausperron;1;73.34;<=P20;;;konstant;;Fertigelement;;Beton;;Kein;;0;35346894;553916.163;158161.067;46.5725086667, 6.83718189896;46.5731299629, 6.83750260673
554907.289;163484.697;250;30.46;VD;Vauderens;Aussenperron;2;150.19;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35328893;554994.179;163607.196;46.6210853668, 6.8499084964;46.6221931538, 6.85103088356
559574.996;171409.947;250;40.041;ROM;Romont;Mittelperron;2/3;320.14;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35373997;559810.949;171625.218;46.6926749401, 6.91014939678;46.6946256547, 6.91321509374
559602.456;171422.702;250;40.07;ROM;Romont;Hausperron;1;317.59;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35325142;559831.097;171641.27;46.6927913423, 6.91050725339;46.6947712635, 6.91347708793
559670.177;171510.294;250;40.178;ROM;Romont;Mittelperron;4/6;150.21;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35342020;559783.281;171609.027;46.6935833646, 6.91138485076;46.6944783406, 6.91285480165
569053.091;177874.749;250;52.33;COT;Cottens;Aussenperron;3;188.19;P 20;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35338686;569240.816;177884.177;46.7513363921, 7.03361918741;46.7514299172, 7.03607535741
577905.174;183355.779;250;65.715;FRI;Fribourg/Freiburg;Mittelperron;2/3;415.26;P 55;;;konstant;;Ortsbeton;;Beton;;Gitterrost;;0;35336702;578101.447;183721.681;46.8009936132, 7.14920376706;46.8042915267, 7.1517572318
578099.629;183722.738;250;66.131;FRI;Fribourg/Freiburg;Mittelperron;2/3;6.86;P 42;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35330874;578103.078;183728.486;46.8043009748, 7.15173336477;46.8043527937, 7.151778271
581074.672;188987.758;250;72.31;DUED;Dudingen;Aussenperron;2;246.29;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35312514;580920.652;188796.178;46.851753004, 7.19048800332;46.8500252707, 7.18847657
587909.931;191161.126;250;80.281;WUE;Wunnewil;Aussenperron;2;177.6;P 42;;;konstant;;Fertigelement;;Beton;;Kein;;0;35335193;588056.78;191260.975;46.8714632663, 7.28005282277;46.8723641065, 7.28197635573
590858.936;193046.889;250;84.008;FLM;Flamatt;Mittelperron;2;194.22;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35353650;591049.59;193010.327;46.8884736377, 7.31869576025;46.8881473701, 7.32119801841
590858.936;193046.889;250;84.008;FLM;Flamatt;Mittelperron;2;20.01;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;135193706;590839.27;193050.607;46.8884736377, 7.31869576025;46.888506809, 7.31843765116
590968.208;193015.751;250;84.121;FLM;Flamatt;Aussenperron;3;191.38;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35362225;591157.903;192991.18;46.88819505, 7.3201301192;46.8879766003, 7.32261953826
593379.874;193726.436;250;86.998;THOD;Thorishaus Dorf;Aussenperron;2;33.79;P 55;;;konstant;;Andere;;Andere;;Kein;;0;135193725;593375.348;193759.923;46.8946165168, 7.35176252488;46.8949176951, 7.35170264076
593761.152;194798.649;250;88.153;THO;Thorishaus Station;Hausperron;1;218.25;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35339449;593837.233;195003.204;46.9042650667, 7.35675090888;46.9061058059, 7.35774664446
594166.603;195887.96;250;89.315;OWA;Oberwangen;Aussenperron;962;173.24;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35355047;594227.165;196050.272;46.9140673998, 7.36205818223;46.9155279683, 7.36285109818
595222.473;197135.333;250;90.994;NWA;Niederwangen;Aussenperron;862;25.92;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35356031;595242.006;197152.366;46.9252963421, 7.37590535787;46.9254496999, 7.37616164154
595344.35;197235.022;250;91.152;NWA;Niederwangen;Aussenperron;962;73.35;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35331403;595398.419;197284.585;46.9261939445, 7.37750454334;46.9266401569, 7.37821396152
596777.743;198547.787;250;93.095;BNBS;Bern Bumpliz Sud;Aussenperron;2;33.52;P 25;;;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35372607;596802.466;198570.419;46.9380111892, 7.3963155264;46.9382148906, 7.3966400488
597480.399;199200.603;250;94.054;BNAS;Bern Europaplatz;Aussenperron;865;49.44;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;135193246;597443.94;199167.216;46.9438865069, 7.40553972988;46.9435860414, 7.40506105739
597606.064;199315.728;250;94.225;BNAS;Bern Europaplatz;Aussenperron;865;170.43;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35338294;597480.399;199200.603;46.9449225561, 7.40718963432;46.9438865069, 7.40553972988
551951.982;162238.918;251;30.525;ECU;Ecublens-Rue;Dienstperron;2;108.49;<=P20;P 15;;konstant;;Andere;Bois;Holzschwellen;;Kein;;0;35364850;551927.21;162344.545;46.6096727782, 6.81145592317;46.610621135, 6.81112153
551950.718;162238.619;251;30.525;ECU;Ecublens-Rue;Dienstperron;2;108.49;P 20;;;Karrenueberfahrten;;Andere;Bois;Holzschwellen;;Kein;;0;35372757;551926.07;162344.268;46.6096699975, 6.81143945583;46.6106185611, 6.81110667865
558402.698;178736.857;251;50.404;GM;Granges-Marnand;Zwischenperron;2;54.86;<=P20;P 15;;Karrenueberfahrten;;Fertigelement;;Andere;Element prefabrique;Kein;;0;35365518;558428.781;178785.116;46.7585100112, 6.89415773618;46.7589457426, 6.89449474122
563545.928;187278.809;251;60.815;CN;Corcelles-Nord;Hausperron;1;118.63;P 35;;vorhanden;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35336428;563459.798;187197.23;46.8356486806, 6.96079433483;46.834910127, 6.95967191478
565378.445;189316.628;251;63.593;DOP;Dompierre;Hausperron;1;150.19;P 55;;;konstant;;Andere;;Andere;Element prefabrique;Gitterrost;;0;35328816;565491.682;189415.289;46.8540773509, 6.98465945867;46.854970723, 6.98613676384
567358.941;190867.308;251;66.111;DOM;Domdidier;Hausperron;1;125.69;P 35;Y compris marche embarquement;vorhanden;konstant;;Ortsbeton;;Beton;;Kein;;0;35360698;567460.644;190941.167;46.8681263958, 7.01051690755;46.8687957679, 7.01184552443
569638.729;192654.033;251;69.061;AV;Avenches;Zwischenperron;2;120.54;P 20;;;konstant;;Fertigelement;;Beton;;Kein;;0;35319856;569725.978;192737.207;46.8843065983, 7.04029854269;46.8850587523, 7.0414376761
575283.173;197118.349;251;76.407;MRT;Murten/Morat;Mittelperron;2/3;75.91;P 30;;;konstant;;Fertigelement;;Andere;Element prefabrique;Kein;;0;35333103;575347.458;197158.725;46.9246984467, 7.11410875717;46.9250640316, 7.11495059561
575426.815;197193.802;251;76.569;MRT;Murten/Morat;Mittelperron;4;160.18;P 55;;;konstant;;Fertigelement;;Andere;Element prefabrique;Gitterrost;;0;35315389;575293.192;197105.575;46.9253825049, 7.11599062401;46.9245839169, 7.11424099814
581301.683;202735.54;251;84.85;KZ;Kerzers;Hausperron;1;142.22;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35351985;581343.526;202871.467;46.975423258, 7.19289736297;46.9766471161, 7.19344165605
581774.676;204271.765;251;86.457;KZPP;Kerzers Papiliorama;Aussenperron;1;121.1;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35371832;581810.293;204387.507;46.9892549404, 7.19905150643;46.9902970292, 7.19951504756
587829.255;210357.874;251;95.446;ABE;Aarberg;Zwischenperron;2;89.98;P 20;;;konstant;;Fertigelement;;Andere;Element prefabrique;Kein;;0;35347250;587872.066;210437.019;47.0441391904, 7.27847721897;47.0448518891, 7.27903843206
547143.931;183547.332;252;8.773;YND;Yvonand;Hausperron;1;90.51;P 20;;;Karrenueberfahrten;;Ortsbeton;;Naturstein;;Kein;;0;35352401;547231.181;183523.246;46.8009807552, 6.74623866781;46.8007710358, 6.74738433989
561903.181;185446.302;252;27.823;PAY;Payerne;Mittelperron;2/3;219.96;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;73657106;562048.007;185611.844;46.8190727146, 6.93941498394;46.8205700885, 6.94129894469
589471.129;193646.176;257;1.662;NGG;Neuenegg;Zwischenperron;2/3;148.17;P 35;;;Karrenueberfahrten;;Fertigelement;;Beton;;Kein;;0;35371883;589343.066;193720.464;46.8938436743, 7.30047267265;46.8945098566, 7.29879046549
584758.766;194578.602;257;6.732;LPN;Laupen;Zwischenperron;3/4;117.53;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35325338;584683.058;194667.738;46.9021391265, 7.23860526528;46.902939174, 7.23760865139
601106.278;207775.086;260;10.024;MUEB;Munchenbuchsee;Aussenperron;12;219.91;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35346925;600918.442;207889.436;47.0210192672, 7.45318286577;47.022048118, 7.45071242452
596106.819;210048.43;260;15.576;SCUE;Schupfen;Aussenperron;3;180.52;P 55;50;;konstant;;Fertigelement;;Beton;;Beton;;0;35363835;595931.676;210092.17;47.0414570156, 7.38740381426;47.0418493859, 7.38509883591
590008.981;213832.347;260;23.253;LY;Lyss;Zwischenperron;4/5;159.44;P 30;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35321893;589958.24;213983.46;47.0754286774, 7.30708276916;47.0767871565, 7.30641130329
587904.933;219116.551;260;30.405;BGG;Brugg BE;Mittelperron;2/3;250.01;P 25;;vorhanden;konstant;Hilstritte, Lange 219M (2004);Ortsbeton;;Naturstein;;Kein;;0;35323521;587685.93;219232.046;47.1229241781, 7.27923734105;47.1239589721, 7.27634809083
601953.731;201780.004;290;108.855;BNWD;Bern Wankdorf;Mittelperron;303/403;222.33;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35310638;602168.431;201727.029;46.9670910372, 7.46430476712;46.9666138756, 7.46712568867
603289.107;200533.445;290;110.871;OST;Ostermundigen;Aussenperron;1;8.01;P 30;;;konstant;;Ortsbeton;;Beton;;Kein;;0;35343868;603290.417;200525.538;46.9558729156, 7.48184282797;46.9558017845, 7.48185998181
605010.156;198187.934;290;113.864;GUE;Gumligen;Mittelperron;2/3;225.56;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35373807;605184.682;198045.044;46.9347640511, 7.50442726009;46.9334774063, 7.50671755042
609149.704;191637.224;290;121.854;MS;Munsingen;Hausperron;1;301.65;P 30;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35354913;609210.196;191341.702;46.8757952007, 7.55865762908;46.8731360702, 7.55944521905
