y,x,Linie,Km,BPS,BPS-Name,PerronTyp,P-Nr,P-Lange,Z-Schienenfrei,P-Besonderheit,Bem-Typ,BE-Nr,BE Konstruktion,Bem Konstruktion,BE L=,Flache,Oberflache,Bem Oberflache,Baujahr,BE Besonderes,B-Jahr,Fotos,GO 1 Erf Dtm,GO Mut Dtm,GO IPID,1 Erf Dtm,Mut Dtm,AT-PA-Region,PJ-Produktionsstandort,IH-Region,IH-Niederlassung,B-Region,Kst,Kst-Beschreibung,UEW-Region,UEW-Niederlassung-FB,Abk. Str. Verwaltung,ErfMandant,Status,FNO,FID,IPID,geopos
667081.045,220551.69,651,8.583,ESB,Eschenbach,Hausperron,2,107,ja,,,2,Konventionell fundiert,,49,134,Bituminoeses Mischgut,,,,2001,0,0001-01-13T00:53:28+00:53,0001-01-28T00:53:28+00:53,2367063,0001-01-13T00:53:28+00:53,0001-01-07T00:53:28+00:53,Mitte,NEP,Mitte,Luzern,Mitte,651100,(Hubeli) - Hochdorf,Mitte,Luzern,SBB CFF,SBB,Bestehend,716,35386199,2367058,"47.1325499488, 8.32282169759"
649936.903,258611.426,700,42.404,EFG,Effingen,Dienstperron,3/4,219,ja,,,1,Konventionell fundiert,,76,438,Kiessandbelag,,,,,0,0001-01-10T00:53:28+00:53,0001-01-04T00:53:28+00:53,1657112,0001-01-08T00:53:28+00:53,0001-01-12T00:53:28+00:53,Mitte,NEP,Mitte,Brugg,Mitte,700140,(Villnachern [Spw]) - (Frick),Mitte,Basel,SBB CFF,SBB,Bestehend,716,35391741,1638361,"47.4763783741, 8.10109067322"
694144.82,253426.707,751,16.72,EF,Effretikon,Mittelperron,2/3,339,ja,,,1,Konventionell fundiert,,113,448,Bituminoeses Mischgut,,,,,0,0001-01-24T00:53:28+00:53,0001-01-21T00:53:28+00:53,625361,0001-01-21T00:53:28+00:53,0001-01-18T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,751300,Hurlistein - Effretikon,Ost,Winterthur,SBB CFF,SBB,Bestehend,716,61441714,10440977,"47.4249111436, 8.68638695957"
707432.025,261825.568,850,126.064,EL,Elgg,Hausperron,1,90,ja,,,1,Konventionell fundiert,,91,210,Bituminoeses Mischgut,,,,,0,0001-01-05T00:53:28+00:53,0001-01-16T00:53:28+00:53,1172830,0001-01-05T00:53:28+00:53,0001-01-19T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,850450,(Sirnach) - (Winterthur Gruze),Ost,Winterthur,SBB CFF,SBB,Bestehend,716,35392868,1172829,"47.4984035574, 8.8644772839"
546738.432,148900.712,100,9.963,EPS,Epesses,Aussenperron,2,128,ja,,,1,Konventionell fundiert,,129,410,Bituminoeses Mischgut,,,,,0,0001-01-07T00:53:28+00:53,0001-01-11T00:53:28+00:53,1702497,0001-01-07T00:53:28+00:53,0001-01-11T00:53:28+00:53,West,West,West,Lausanne,West,100100,(Lausanne) - Vevey,West,Lausanne,SBB CFF,SBB,Bestehend,716,35376931,1702494,"46.4892964657, 6.74494804111"
709629.219,268439.781,840,41.932,FF,Frauenfeld,Mittelperron,2/3,421,ja,,,1,Konventionell fundiert,,421,2753,Verbundstein-Pflaesterung,,,,1999,0,0001-01-21T00:53:28+00:53,0001-01-21T00:53:28+00:53,1322956,0001-01-21T00:53:28+00:53,0001-01-21T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,840200,(Oberwinterthur) - Frauenfeld,Ost,Winterthur,SBB CFF,SBB,Bestehend,716,35385123,1322955,"47.5575174115, 8.8952617975"
690356.207,195093.39,600,32.403,FL,Fluelen,Mittelperron,2/3,449,ja,,,1,Konventionell fundiert,,448,2772,Bituminoeses Mischgut,,,,1990,0,0001-01-23T00:53:28+00:53,0001-01-09T00:53:28+00:53,974492,0001-01-04T00:53:28+00:53,0001-01-06T00:53:28+00:53,Mitte,NEP,Sud,Erstfeld,Mitte,600220,Gruonbach - (Erstfeld),Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35394295,177082,"46.9008094044, 8.62449869043"
578201.47,199946.757,251,80.575,GZ,Galmiz,Hausperron,1,133,ja,,,1,Konventionell fundiert,,133,436,Bituminoeses Mischgut,,,,2007,0,0001-01-07T00:53:28+00:53,0001-01-18T00:53:28+00:53,4368939,0001-01-07T00:53:28+00:53,0001-01-08T00:53:28+00:53,West,West,West,Lausanne,West,251250,(Muntelier) - (Kerzers),West,Biel,SBB CFF,SBB,Bestehend,716,35383943,4368941,"46.9502429095, 7.15228869214"
582286.875,205339.833,251,87.652,FRAE,Fraschels,Aussenperron,447,120,ja,,,1,Fertigelement,,120,420,Bituminoeses Mischgut,,,,2009,0,0001-01-10T00:53:28+00:53,0001-01-02T00:53:28+00:53,4440884,0001-01-10T00:53:28+00:53,0001-01-02T00:53:28+00:53,Mitte,Mitte,Mitte,Bern,Mitte,251300,Kerzers - (Lyss),Mitte,Olten,SBB CFF,SBB,Bestehend,716,35397691,4440881,"46.9988762141, 7.20574269547"
577905.476,183358.178,250,65.717,FRI,Fribourg/Freiburg,Mittelperron,2/3,422,ja,,,1,Konventionell fundiert,,422,1750,Bituminoeses Mischgut,,,,,0,0001-01-30T00:53:28+00:53,0001-01-02T00:53:28+00:53,1571633,0001-01-30T00:53:28+00:53,0001-01-02T00:53:28+00:53,West,West,West,Lausanne,West,250250,Romont - Fribourg,West,Lausanne,SBB CFF,SBB,Bestehend,716,35391303,1571628,"46.801015203, 7.14920760669"
643208.535,261884.882,700,51.711,FCK,Frick,Hausperron,1,226,ja,,,1,Konventionell fundiert,,226,680,Verbundstein-Pflaesterung,,,,,0,0001-01-13T00:53:28+00:53,0001-01-16T00:53:28+00:53,1554176,0001-01-13T00:53:28+00:53,0001-01-30T00:53:28+00:53,Mitte,NEP,Mitte,Brugg,Mitte,700150,Frick - (Stein-Sackingen),Mitte,Basel,SBB CFF,SBB,Bestehend,716,35384195,1554175,"47.5062949309, 8.01215214269"
578091.897,183705.81,250,66.112,FRI,Fribourg/Freiburg,Mittelperron,2/3,422,ja,,,4,Brueckenkonstruktion,,18,57,Bituminoeses Mischgut,,,,,0,0001-01-30T00:53:28+00:53,0001-01-02T00:53:28+00:53,1571633,0001-01-30T00:53:28+00:53,0001-01-02T00:53:28+00:53,West,West,West,Lausanne,West,250250,Romont - Fribourg,West,Lausanne,SBB CFF,SBB,Bestehend,716,35391280,1571631,"46.8041484467, 7.15163288836"
504427.15,132424.631,150,44.755,FOU,Founex,Aussenperron,2,199,nein,,,1,Konventionell fundiert,,23,55,Bituminoeses Mischgut,,,,,0,0001-01-19T00:53:28+00:53,0001-01-24T00:53:28+00:53,164277,0001-01-19T00:53:28+00:53,0001-01-11T00:53:28+00:53,West,West,West,Geneve,West,150500,(Nyon) - (Coppet),West,Lausanne,SBB CFF,SBB,Bestehend,716,35391583,164278,"46.3363928279, 6.1973460612"
590961.977,193038.768,250,84.111,FLM,Flamatt,Zwischenperron,1,195,ja,,,1,Konventionell fundiert,,195,620,Bituminoeses Mischgut,,,,,0,0001-01-24T00:53:28+00:53,0001-01-26T00:53:28+00:53,1330323,0001-01-24T00:53:28+00:53,0001-01-26T00:53:28+00:53,Mitte,Mitte,Mitte,Bern,Mitte,250350,Flamatt - (Bern),Mitte,Olten,SBB CFF,SBB,Bestehend,716,35384477,1330322,"46.8884020084, 7.32004790346"
590923.418,193035.114,257,-0.044,FLM,Flamatt,Mittelperron,2,213,ja,,,1,Konventionell fundiert,,190,905,Bituminoeses Mischgut,,,,,0,0001-01-24T00:53:28+00:53,0001-01-10T00:53:28+00:53,1330331,0001-01-24T00:53:28+00:53,0001-01-10T00:53:28+00:53,Mitte,Mitte,Mitte,Bern,Mitte,250350,Flamatt - (Bern),Mitte,Olten,SBB CFF,SBB,Bestehend,716,35381436,1330330,"46.8883686098, 7.31954205247"
630619.994,257268.794,500,23.823,GKD,Gelterkinden,Mittelperron,3/4,376,ja,,,2,Andere,fundiert auf altem Perron,320,2091,Verbundstein-Pflaesterung,,,Anrampung an altes P35 Perron,2005,0,0001-01-08T00:53:28+00:53,0001-01-10T00:53:28+00:53,957958,0001-01-21T00:53:28+00:53,0001-01-10T00:53:28+00:53,Mitte,Mitte,Mitte,Olten,Mitte,500400,Gelterkinden - (Olten),Mitte,Olten,SBB CFF,SBB,Bestehend,716,35389228,3492238,"47.4654848779, 7.84474490901"
497474.994,120808.59,150,65.919,GEAP,Geneve-Aeroport,Dienstperron,1B,49,ja,Quai de secours,,1,Konventionell fundiert,,49,82,Beton-Belag,,,,1983,0,0001-01-07T00:53:28+00:53,0001-01-19T00:53:28+00:53,3817578,0001-01-14T00:53:28+00:53,0001-01-30T00:53:28+00:53,West,West,West,Geneve,West,150660,(Chatelaine) - Geneve Aeroport,West,Lausanne,SBB CFF,SBB,Bestehend,716,35383898,639753,"46.2308874691, 6.10962734597"
500018.212,118579.582,150,60.143,GE,Geneve,Mittelperron,4/5/6,444,nein,,,2,Brueckenkonstruktion,,16,336,Bituminoeses Mischgut,,,,2006,0,0001-01-21T00:53:28+00:53,0001-01-30T00:53:28+00:53,1505408,0001-01-11T00:53:28+00:53,0001-01-14T00:53:28+00:53,West,West,West,Geneve,West,150600,Geneve,West,Lausanne,SBB CFF,SBB,Bestehend,716,35386730,3817695,"46.2112221936, 6.14306647509"
